IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,Y,X
176125475,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,5/10/17 0:00,9:45:00,SOUTHERN,NONE,0 Block of TOWNSEND ST,37.78170626,-122.3891783
176129900,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,4/30/17 0:00,9:35:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
176130242,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,5/20/17 0:00,23:00:00,NORTHERN,NONE,GEARY BL / STEINER ST,37.78415049,-122.4345637
176130311,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,5/21/17 0:00,11:30:00,NORTHERN,NONE,1100 Block of SUTTER ST,37.7879137,-122.4193173
176135286,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,5/26/17 0:00,9:30:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
176135292,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,5/19/17 0:00,10:30:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
176142811,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,6/1/17 0:00,21:00:00,CENTRAL,NONE,WASHINGTON ST / SANSOME ST,37.79571979,-122.4016784
176142827,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,6/2/17 0:00,23:05:00,NORTHERN,NONE,ELLIS ST / POLK ST,37.78402805,-122.4193663
176142833,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,6/1/17 0:00,21:55:00,CENTRAL,NONE,400 Block of KEARNY ST,37.79216471,-122.4043893
176142877,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,6/3/17 0:00,9:00:00,NORTHERN,NONE,200 Block of LILY ST,37.77428654,-122.425023
176143336,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,6/1/17 0:00,20:55:00,TARAVAL,NONE,LINCOLN WY / 15TH AV,37.76564043,-122.4729232
176144146,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,6/4/17 0:00,5:19:00,MISSION,NONE,1300 Block of VALENCIA ST,37.7512937,-122.4205154
176145570,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,6/3/17 0:00,23:44:00,SOUTHERN,NONE,HOWARD ST / 8TH ST,37.77622099,-122.4116098
176171412,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,7/1/17 0:00,21:00:00,CENTRAL,NONE,1000 Block of STOCKTON ST,37.79539916,-122.4080994
176179858,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,6/29/17 0:00,19:45:00,TENDERLOIN,NONE,8TH ST / MARKET ST,37.77871926,-122.4147438
176184766,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,7/11/17 0:00,19:00:00,MISSION,NONE,900 Block of VALENCIA ST,37.75728953,-122.4210852
