Census Tract,FIPS Code,Formatted FIPS,Annual transit trips taken by a moderate-income family household
"06037980019, CA",6037980019,06037980019,174.17
"06037980031, CA",6037980031,06037980031,260.44
"06037980009, CA",6037980009,06037980009,N/A
"06037980028, CA",6037980028,06037980028,N/A
"06037106603, CA",6037106603,06037106603,59.63
"06037980026, CA",6037980026,06037980026,15.63
"06037262301, CA",6037262301,06037262301,116.21
"06037102107, CA",6037102107,06037102107,141.5
"06037262400, CA",6037262400,06037262400,118.6
"06037139702, CA",6037139702,06037139702,146.27
"06037262100, CA",6037262100,06037262100,160.83
"06037262200, CA",6037262200,06037262200,136.15
"06037980020, CA",6037980020,06037980020,N/A
"06037980024, CA",6037980024,06037980024,120.17
"06037261102, CA",6037261102,06037261102,150.83
"06037261200, CA",6037261200,06037261200,125.35
"06037121102, CA",6037121102,06037121102,72.66
"06037103200, CA",6037103200,06037103200,91.44
"06037980014, CA",6037980014,06037980014,N/A
"06037113211, CA",6037113211,06037113211,169.56
"06037980021, CA",6037980021,06037980021,N/A
"06037261101, CA",6037261101,06037261101,157.57
"06037101400, CA",6037101400,06037101400,83.97
"06037980022, CA",6037980022,06037980022,N/A
"06037103300, CA",6037103300,06037103300,85.95
"06037139802, CA",6037139802,06037139802,116.74
"06037108202, CA",6037108202,06037108202,66.06
"06037262604, CA",6037262604,06037262604,87.4
"06037106510, CA",6037106510,06037106510,77.93
"06037980015, CA",6037980015,06037980015,130.02
"06037143901, CA",6037143901,06037143901,145.24
"06037980023, CA",6037980023,06037980023,319.81
"06037113237, CA",6037113237,06037113237,104.54
"06037139703, CA",6037139703,06037139703,116.34
"06037206031, CA",6037206031,06037206031,482.65
"06037135203, CA",6037135203,06037135203,87.91
"06037138000, CA",6037138000,06037138000,124.68
"06037106643, CA",6037106643,06037106643,67.6
"06037189701, CA",6037189701,06037189701,306.9
"06037181000, CA",6037181000,06037181000,147.82
"06037113303, CA",6037113303,06037113303,99.63
"06037236000, CA",6037236000,06037236000,280.85
"06037292000, CA",6037292000,06037292000,163.63
"06037115101, CA",6037115101,06037115101,144.22
"06037141600, CA",6037141600,06037141600,148.64
"06037106111, CA",6037106111,06037106111,82.7
"06037137504, CA",6037137504,06037137504,124.68
"06037980010, CA",6037980010,06037980010,361.86
"06037134424, CA",6037134424,06037134424,95.76
"06037262601, CA",6037262601,06037262601,127.22
"06037113102, CA",6037113102,06037113102,108.92
"06037139801, CA",6037139801,06037139801,99.8
"06037194102, CA",6037194102,06037194102,210.75
"06037262802, CA",6037262802,06037262802,162.67
"06037139701, CA",6037139701,06037139701,106.87
"06037143700, CA",6037143700,06037143700,109.26
"06037980008, CA",6037980008,06037980008,68.76
"06037141500, CA",6037141500,06037141500,132.83
"06037111204, CA",6037111204,06037111204,106.96
"06037122000, CA",6037122000,06037122000,103.14
"06037278102, CA",6037278102,06037278102,210.14
"06037141700, CA",6037141700,06037141700,132.6
"06037106112, CA",6037106112,06037106112,83.56
"06037137402, CA",6037137402,06037137402,112.05
"06037262302, CA",6037262302,06037262302,163.64
"06037297400, CA",6037297400,06037297400,117.92
"06037139301, CA",6037139301,06037139301,145.21
"06037262706, CA",6037262706,06037262706,139.63
"06037108201, CA",6037108201,06037108201,86.56
"06037109100, CA",6037109100,06037109100,64.79
"06037104204, CA",6037104204,06037104204,129.48
"06037211000, CA",6037211000,06037211000,240.91
"06037101122, CA",6037101122,06037101122,71.23
"06037111206, CA",6037111206,06037111206,106.11
"06037106604, CA",6037106604,06037106604,39.36
"06037262303, CA",6037262303,06037262303,171.9
"06037143800, CA",6037143800,06037143800,205.75
"06037194200, CA",6037194200,06037194200,234.07
"06037134905, CA",6037134905,06037134905,236.87
"06037199300, CA",6037199300,06037199300,222.77
"06037101300, CA",6037101300,06037101300,110.1
"06037275602, CA",6037275602,06037275602,335.15
"06037108103, CA",6037108103,06037108103,81.13
"06037137104, CA",6037137104,06037137104,56.59
"06037226002, CA",6037226002,06037226002,553.58
"06037194101, CA",6037194101,06037194101,319.3
"06037106645, CA",6037106645,06037106645,102.14
"06037106010, CA",6037106010,06037106010,91.86
"06037143902, CA",6037143902,06037143902,161.69
"06037137501, CA",6037137501,06037137501,157.73
"06037103400, CA",6037103400,06037103400,124.72
"06037139600, CA",6037139600,06037139600,174.73
"06037262704, CA",6037262704,06037262704,141.77
"06037194300, CA",6037194300,06037194300,205.27
"06037113401, CA",6037113401,06037113401,129.19
"06037137302, CA",6037137302,06037137302,97.81
"06037139402, CA",6037139402,06037139402,107.51
"06037291300, CA",6037291300,06037291300,200.14
"06037137401, CA",6037137401,06037137401,143.28
"06037297300, CA",6037297300,06037297300,76.43
"06037265100, CA",6037265100,06037265100,371.51
"06037134422, CA",6037134422,06037134422,74.06
"06037276000, CA",6037276000,06037276000,226.34
"06037277000, CA",6037277000,06037277000,250.47
"06037269000, CA",6037269000,06037269000,352.17
"06037185100, CA",6037185100,06037185100,208.94
"06037113301, CA",6037113301,06037113301,141.02
"06037113101, CA",6037113101,06037113101,74.66
"06037109601, CA",6037109601,06037109601,115.37
"06037276601, CA",6037276601,06037276601,198.44
"06037106520, CA",6037106520,06037106520,70.03
"06037274202, CA",6037274202,06037274202,362.1
"06037113421, CA",6037113421,06037113421,183.95
"06037269300, CA",6037269300,06037269300,298.56
"06037187102, CA",6037187102,06037187102,222
"06037131600, CA",6037131600,06037131600,117.88
"06037108102, CA",6037108102,06037108102,108.53
"06037127400, CA",6037127400,06037127400,165.23
"06037134421, CA",6037134421,06037134421,100.77
"06037188100, CA",6037188100,06037188100,247.49
"06037106406, CA",6037106406,06037106406,136.22
"06037137502, CA",6037137502,06037137502,163.64
"06037113232, CA",6037113232,06037113232,131.31
"06037117302, CA",6037117302,06037117302,90.81
"06037295103, CA",6037295103,06037295103,162.96
"06037121210, CA",6037121210,06037121210,92.78
"06037103101, CA",6037103101,06037103101,76.58
"06037121010, CA",6037121010,06037121010,155.95
"06037106020, CA",6037106020,06037106020,84.22
"06037111301, CA",6037111301,06037111301,140.35
"06037141400, CA",6037141400,06037141400,133.44
"06037137201, CA",6037137201,06037137201,192.86
"06037201402, CA",6037201402,06037201402,231.42
"06037111201, CA",6037111201,06037111201,124.78
"06037115401, CA",6037115401,06037115401,208.34
"06037189300, CA",6037189300,06037189300,255.92
"06037195100, CA",6037195100,06037195100,269.89
"06037134800, CA",6037134800,06037134800,159.21
"06037111202, CA",6037111202,06037111202,112.75
"06037264000, CA",6037264000,06037264000,251.13
"06037117202, CA",6037117202,06037117202,118.54
"06037111400, CA",6037111400,06037111400,149.91
"06037117303, CA",6037117303,06037117303,120.75
"06037275302, CA",6037275302,06037275302,290.12
"06037113322, CA",6037113322,06037113322,150.28
"06037143100, CA",6037143100,06037143100,359.48
"06037117404, CA",6037117404,06037117404,124.41
"06037135202, CA",6037135202,06037135202,110.95
"06037143400, CA",6037143400,06037143400,275.17
"06037115202, CA",6037115202,06037115202,142
"06037294701, CA",6037294701,06037294701,148.58
"06037206050, CA",6037206050,06037206050,521.98
"06037128400, CA",6037128400,06037128400,162.85
"06037120300, CA",6037120300,06037120300,153.41
"06037122200, CA",6037122200,06037122200,193.55
"06037119002, CA",6037119002,06037119002,133.87
"06037201700, CA",6037201700,06037201700,185.47
"06037121900, CA",6037121900,06037121900,154.64
"06037264302, CA",6037264302,06037264302,379.05
"06037186302, CA",6037186302,06037186302,230.35
"06037135102, CA",6037135102,06037135102,130.23
"06037104704, CA",6037104704,06037104704,168.8
"06037102104, CA",6037102104,06037102104,328.25
"06037128702, CA",6037128702,06037128702,254.29
"06037238000, CA",6037238000,06037238000,210.98
"06037143300, CA",6037143300,06037143300,335.41
"06037203500, CA",6037203500,06037203500,409.55
"06037115301, CA",6037115301,06037115301,200.13
"06037262501, CA",6037262501,06037262501,133.65
"06037137301, CA",6037137301,06037137301,94.57
"06037278001, CA",6037278001,06037278001,276.45
"06037132002, CA",6037132002,06037132002,101.56
"06037265301, CA",6037265301,06037265301,N/A
"06037109700, CA",6037109700,06037109700,130.31
"06037106642, CA",6037106642,06037106642,94.34
"06037134303, CA",6037134303,06037134303,172.73
"06037134423, CA",6037134423,06037134423,125.02
"06037199000, CA",6037199000,06037199000,375.05
"06037111302, CA",6037111302,06037111302,153.35
"06037294120, CA",6037294120,06037294120,105.02
"06037127210, CA",6037127210,06037127210,227.31
"06037123601, CA",6037123601,06037123601,172.98
"06037135201, CA",6037135201,06037135201,142.53
"06037113422, CA",6037113422,06037113422,203.17
"06037115103, CA",6037115103,06037115103,158.39
"06037133100, CA",6037133100,06037133100,169.72
"06037104310, CA",6037104310,06037104310,77.78
"06037203300, CA",6037203300,06037203300,217.6
"06037106646, CA",6037106646,06037106646,89.38
"06037134201, CA",6037134201,06037134201,123.69
"06037205120, CA",6037205120,06037205120,408.19
"06037189702, CA",6037189702,06037189702,290.51
"06037271300, CA",6037271300,06037271300,289.77
"06037131020, CA",6037131020,06037131020,145.33
"06037189400, CA",6037189400,06037189400,280.18
"06037106113, CA",6037106113,06037106113,94.2
"06037181300, CA",6037181300,06037181300,214.64
"06037206010, CA",6037206010,06037206010,593.46
"06037297000, CA",6037297000,06037297000,165.51
"06037109800, CA",6037109800,06037109800,148.91
"06037197410, CA",6037197410,06037197410,291.65
"06037930401, CA",6037930401,06037930401,N/A
"06037269500, CA",6037269500,06037269500,299.32
"06037115201, CA",6037115201,06037115201,237.27
"06037132102, CA",6037132102,06037132102,202.84
"06037124700, CA",6037124700,06037124700,248.18
"06037124000, CA",6037124000,06037124000,247.16
"06037186100, CA",6037186100,06037186100,255.89
"06037121222, CA",6037121222,06037121222,202.83
"06037128910, CA",6037128910,06037128910,196.29
"06037236400, CA",6037236400,06037236400,311.98
"06037117301, CA",6037117301,06037117301,143.45
"06037132700, CA",6037132700,06037132700,164.82
"06037131900, CA",6037131900,06037131900,162.96
"06037131800, CA",6037131800,06037131800,179.87
"06037119700, CA",6037119700,06037119700,158.32
"06037134302, CA",6037134302,06037134302,128.73
"06037123301, CA",6037123301,06037123301,234.16
"06037125200, CA",6037125200,06037125200,273.44
"06037113213, CA",6037113213,06037113213,167.93
"06037201401, CA",6037201401,06037201401,248.63
"06037125100, CA",6037125100,06037125100,336.52
"06037234600, CA",6037234600,06037234600,246.98
"06037238400, CA",6037238400,06037238400,231.21
"06037109400, CA",6037109400,06037109400,165.06
"06037123901, CA",6037123901,06037123901,205.12
"06037123800, CA",6037123800,06037123800,286.23
"06037275311, CA",6037275311,06037275311,295.46
"06037291130, CA",6037291130,06037291130,179.45
"06037132300, CA",6037132300,06037132300,192.17
"06037135114, CA",6037135114,06037135114,312.1
"06037239202, CA",6037239202,06037239202,219.02
"06037141302, CA",6037141302,06037141302,203.95
"06037276400, CA",6037276400,06037276400,257.1
"06037216300, CA",6037216300,06037216300,297.67
"06037267600, CA",6037267600,06037267600,286.35
"06037181600, CA",6037181600,06037181600,154.77
"06037119800, CA",6037119800,06037119800,144.54
"06037103102, CA",6037103102,06037103102,126.66
"06037139001, CA",6037139001,06037139001,207.93
"06037143500, CA",6037143500,06037143500,294.73
"06037234000, CA",6037234000,06037234000,269.57
"06037109300, CA",6037109300,06037109300,91.49
"06037291210, CA",6037291210,06037291210,270.11
"06037277100, CA",6037277100,06037277100,232.96
"06037265700, CA",6037265700,06037265700,522.98
"06037224020, CA",6037224020,06037224020,608.3
"06037143602, CA",6037143602,06037143602,310.31
"06037104320, CA",6037104320,06037104320,133.69
"06037195500, CA",6037195500,06037195500,390.12
"06037185202, CA",6037185202,06037185202,274.54
"06037109500, CA",6037109500,06037109500,145.77
"06037109200, CA",6037109200,06037109200,137.37
"06037272100, CA",6037272100,06037272100,255.25
"06037132900, CA",6037132900,06037132900,163.83
"06037240700, CA",6037240700,06037240700,239.5
"06037102103, CA",6037102103,06037102103,190.24
"06037276500, CA",6037276500,06037276500,123.6
"06037273902, CA",6037273902,06037273902,275.15
"06037109604, CA",6037109604,06037109604,115.97
"06037235100, CA",6037235100,06037235100,261.24
"06037106405, CA",6037106405,06037106405,155.42
"06037267200, CA",6037267200,06037267200,470.86
"06037104703, CA",6037104703,06037104703,98.44
"06037273100, CA",6037273100,06037273100,236.4
"06037187300, CA",6037187300,06037187300,293.88
"06037111205, CA",6037111205,06037111205,186.05
"06037186301, CA",6037186301,06037186301,284.47
"06037241202, CA",6037241202,06037241202,253.23
"06037139200, CA",6037139200,06037139200,254.74
"06037267800, CA",6037267800,06037267800,325.21
"06037113233, CA",6037113233,06037113233,250.96
"06037101110, CA",6037101110,06037101110,119.84
"06037271400, CA",6037271400,06037271400,231.02
"06037121600, CA",6037121600,06037121600,130.34
"06037106641, CA",6037106641,06037106641,77.08
"06037128602, CA",6037128602,06037128602,210.93
"06037108101, CA",6037108101,06037108101,75.02
"06037131200, CA",6037131200,06037131200,157.43
"06037236100, CA",6037236100,06037236100,403.44
"06037104810, CA",6037104810,06037104810,124.22
"06037119400, CA",6037119400,06037119400,138.72
"06037124600, CA",6037124600,06037124600,188.12
"06037131300, CA",6037131300,06037131300,160.68
"06037267901, CA",6037267901,06037267901,261.62
"06037106649, CA",6037106649,06037106649,126.63
"06037293302, CA",6037293302,06037293302,203.46
"06037106403, CA",6037106403,06037106403,92.18
"06037232400, CA",6037232400,06037232400,271.47
"06037131400, CA",6037131400,06037131400,151.13
"06037214100, CA",6037214100,06037214100,458.2
"06037237202, CA",6037237202,06037237202,229.74
"06037131100, CA",6037131100,06037131100,157.98
"06037267100, CA",6037267100,06037267100,536.76
"06037104108, CA",6037104108,06037104108,170.41
"06037207710, CA",6037207710,06037207710,464.66
"06037181500, CA",6037181500,06037181500,188.77
"06037104201, CA",6037104201,06037104201,120.6
"06037216900, CA",6037216900,06037216900,431.82
"06037219700, CA",6037219700,06037219700,265.36
"06037189600, CA",6037189600,06037189600,388.55
"06037119001, CA",6037119001,06037119001,154.32
"06037131010, CA",6037131010,06037131010,247.05
"06037120400, CA",6037120400,06037120400,181.8
"06037134101, CA",6037134101,06037134101,154.63
"06037240900, CA",6037240900,06037240900,223.19
"06037201602, CA",6037201602,06037201602,168.5
"06037134901, CA",6037134901,06037134901,169.77
"06037293201, CA",6037293201,06037293201,287.21
"06037111100, CA",6037111100,06037111100,116.23
"06037127300, CA",6037127300,06037127300,231.76
"06037125310, CA",6037125310,06037125310,336.56
"06037119900, CA",6037119900,06037119900,154.32
"06037296300, CA",6037296300,06037296300,209.63
"06037134103, CA",6037134103,06037134103,182.68
"06037113321, CA",6037113321,06037113321,286.68
"06037139502, CA",6037139502,06037139502,155.14
"06037135111, CA",6037135111,06037135111,182.64
"06037293202, CA",6037293202,06037293202,215.21
"06037117102, CA",6037117102,06037117102,137.4
"06037134904, CA",6037134904,06037134904,201.98
"06037277200, CA",6037277200,06037277200,307.82
"06037296402, CA",6037296402,06037296402,130.03
"06037122122, CA",6037122122,06037122122,224.29
"06037226001, CA",6037226001,06037226001,438.46
"06037189202, CA",6037189202,06037189202,332.25
"06037195400, CA",6037195400,06037195400,398.96
"06037113234, CA",6037113234,06037113234,252.04
"06037275603, CA",6037275603,06037275603,300.63
"06037125600, CA",6037125600,06037125600,322.81
"06037115104, CA",6037115104,06037115104,264.77
"06037238200, CA",6037238200,06037238200,277.24
"06037134304, CA",6037134304,06037134304,127.42
"06037106114, CA",6037106114,06037106114,192.52
"06037123010, CA",6037123010,06037123010,255.79
"06037201110, CA",6037201110,06037201110,196.71
"06037242700, CA",6037242700,06037242700,210.06
"06037214000, CA",6037214000,06037214000,345.21
"06037204700, CA",6037204700,06037204700,364.83
"06037273402, CA",6037273402,06037273402,351.94
"06037133000, CA",6037133000,06037133000,161.6
"06037113212, CA",6037113212,06037113212,102.06
"06037109603, CA",6037109603,06037109603,165.16
"06037228100, CA",6037228100,06037228100,297.62
"06037107020, CA",6037107020,06037107020,155.93
"06037271701, CA",6037271701,06037271701,420.24
"06037237300, CA",6037237300,06037237300,272.26
"06037134720, CA",6037134720,06037134720,189.43
"06037201302, CA",6037201302,06037201302,337.58
"06037294110, CA",6037294110,06037294110,156.17
"06037206032, CA",6037206032,06037206032,621.17
"06037238100, CA",6037238100,06037238100,260.96
"06037296401, CA",6037296401,06037296401,163.03
"06037276100, CA",6037276100,06037276100,527.02
"06037220100, CA",6037220100,06037220100,323.33
"06037124400, CA",6037124400,06037124400,274.9
"06037237900, CA",6037237900,06037237900,238.75
"06037239330, CA",6037239330,06037239330,161.43
"06037128500, CA",6037128500,06037128500,308.93
"06037270300, CA",6037270300,06037270300,251.19
"06037124201, CA",6037124201,06037124201,257.22
"06037128802, CA",6037128802,06037128802,295.73
"06037119202, CA",6037119202,06037119202,163.45
"06037132001, CA",6037132001,06037132001,165.88
"06037208000, CA",6037208000,06037208000,853.56
"06037220000, CA",6037220000,06037220000,327.99
"06037237800, CA",6037237800,06037237800,235.61
"06037199700, CA",6037199700,06037199700,427.39
"06037134520, CA",6037134520,06037134520,276.15
"06037183101, CA",6037183101,06037183101,215.54
"06037185204, CA",6037185204,06037185204,222.08
"06037216200, CA",6037216200,06037216200,498.8
"06037231220, CA",6037231220,06037231220,373.21
"06037186401, CA",6037186401,06037186401,280.35
"06037199120, CA",6037199120,06037199120,329.06
"06037143200, CA",6037143200,06037143200,390.47
"06037115404, CA",6037115404,06037115404,131.16
"06037119201, CA",6037119201,06037119201,119.28
"06037123700, CA",6037123700,06037123700,216.69
"06037199202, CA",6037199202,06037199202,261.42
"06037104103, CA",6037104103,06037104103,110.35
"06037121802, CA",6037121802,06037121802,154.48
"06037231600, CA",6037231600,06037231600,374.73
"06037187200, CA",6037187200,06037187200,261.4
"06037127711, CA",6037127711,06037127711,189.58
"06037294200, CA",6037294200,06037294200,173.46
"06037123602, CA",6037123602,06037123602,226.77
"06037183222, CA",6037183222,06037183222,218.49
"06037188300, CA",6037188300,06037188300,245.58
"06037271902, CA",6037271902,06037271902,319.9
"06037217200, CA",6037217200,06037217200,428.89
"06037231500, CA",6037231500,06037231500,276.37
"06037139401, CA",6037139401,06037139401,132.68
"06037211500, CA",6037211500,06037211500,432.14
"06037271500, CA",6037271500,06037271500,302.02
"06037204920, CA",6037204920,06037204920,226.07
"06037123103, CA",6037123103,06037123103,350.77
"06037241001, CA",6037241001,06037241001,254.57
"06037271600, CA",6037271600,06037271600,401.52
"06037207900, CA",6037207900,06037207900,686.92
"06037199110, CA",6037199110,06037199110,262.79
"06037296500, CA",6037296500,06037296500,172.45
"06037218300, CA",6037218300,06037218300,405.09
"06037217100, CA",6037217100,06037217100,433.88
"06037269700, CA",6037269700,06037269700,316.02
"06037183702, CA",6037183702,06037183702,239.82
"06037124300, CA",6037124300,06037124300,299.26
"06037231100, CA",6037231100,06037231100,368.17
"06037201501, CA",6037201501,06037201501,273.42
"06037234200, CA",6037234200,06037234200,255.56
"06037123304, CA",6037123304,06037123304,292.28
"06037181400, CA",6037181400,06037181400,245.75
"06037212702, CA",6037212702,06037212702,369.08
"06037294830, CA",6037294830,06037294830,189.95
"06037192300, CA",6037192300,06037192300,381.55
"06037195202, CA",6037195202,06037195202,296.74
"06037201301, CA",6037201301,06037201301,263.63
"06037206020, CA",6037206020,06037206020,581.31
"06037207400, CA",6037207400,06037207400,N/A
"06037234300, CA",6037234300,06037234300,411.98
"06037122420, CA",6037122420,06037122420,246.81
"06037127102, CA",6037127102,06037127102,248.88
"06037192002, CA",6037192002,06037192002,369.54
"06037235202, CA",6037235202,06037235202,306.6
"06037186203, CA",6037186203,06037186203,205.71
"06037228800, CA",6037228800,06037228800,348.91
"06037115302, CA",6037115302,06037115302,190.65
"06037293301, CA",6037293301,06037293301,159.25
"06037269100, CA",6037269100,06037269100,468.32
"06037276604, CA",6037276604,06037276604,364.82
"06037294620, CA",6037294620,06037294620,186.21
"06037296600, CA",6037296600,06037296600,178.09
"06037294302, CA",6037294302,06037294302,189.3
"06037108104, CA",6037108104,06037108104,92.69
"06037224010, CA",6037224010,06037224010,784.4
"06037294410, CA",6037294410,06037294410,275.13
"06037121020, CA",6037121020,06037121020,179.13
"06037294610, CA",6037294610,06037294610,211.07
"06037222700, CA",6037222700,06037222700,504.89
"06037291220, CA",6037291220,06037291220,292.6
"06037132101, CA",6037132101,06037132101,235.21
"06037267700, CA",6037267700,06037267700,397.53
"06037240300, CA",6037240300,06037240300,265.11
"06037242200, CA",6037242200,06037242200,262.24
"06037124500, CA",6037124500,06037124500,216.3
"06037240500, CA",6037240500,06037240500,287.03
"06037271100, CA",6037271100,06037271100,319.77
"06037123510, CA",6037123510,06037123510,258.49
"06037219902, CA",6037219902,06037219902,308.43
"06037106648, CA",6037106648,06037106648,187.81
"06037232600, CA",6037232600,06037232600,310.62
"06037117201, CA",6037117201,06037117201,214.45
"06037201120, CA",6037201120,06037201120,273.16
"06037123420, CA",6037123420,06037123420,243.41
"06037187101, CA",6037187101,06037187101,253.33
"06037275500, CA",6037275500,06037275500,402.77
"06037273502, CA",6037273502,06037273502,319.67
"06037123104, CA",6037123104,06037123104,366.07
"06037117101, CA",6037117101,06037117101,198.57
"06037226700, CA",6037226700,06037226700,438.2
"06037212800, CA",6037212800,06037212800,383.95
"06037141102, CA",6037141102,06037141102,216.58
"06037197200, CA",6037197200,06037197200,301.94
"06037267902, CA",6037267902,06037267902,242.26
"06037216700, CA",6037216700,06037216700,405.46
"06037188201, CA",6037188201,06037188201,428.68
"06037191901, CA",6037191901,06037191901,455.53
"06037217002, CA",6037217002,06037217002,528.7
"06037204810, CA",6037204810,06037204810,339.26
"06037265520, CA",6037265520,06037265520,479.62
"06037232500, CA",6037232500,06037232500,286.31
"06037270200, CA",6037270200,06037270200,345.61
"06037137103, CA",6037137103,06037137103,301.95
"06037141101, CA",6037141101,06037141101,324.38
"06037123205, CA",6037123205,06037123205,230.26
"06037188202, CA",6037188202,06037188202,306.15
"06037134002, CA",6037134002,06037134002,186.4
"06037214501, CA",6037214501,06037214501,429.65
"06037234501, CA",6037234501,06037234501,230.23
"06037275400, CA",6037275400,06037275400,277.28
"06037240200, CA",6037240200,06037240200,283.26
"06037234700, CA",6037234700,06037234700,304.14
"06037273800, CA",6037273800,06037273800,294.73
"06037216800, CA",6037216800,06037216800,458.7
"06037265420, CA",6037265420,06037265420,169.42
