"County","FIPS Code","Formatted FIPS","Estimated percent of people with at least a Bachelor's degree, b"
"San Bernardino","06071","=""06071""","20.28"
"Inyo","06027","=""06027""","26.06"
"Kern","06029","=""06029""","16.12"
"Siskiyou","06093","=""06093""","22.53"
"Riverside","06065","=""06065""","21.81"
"Fresno","06019","=""06019""","20.69"
"Lassen","06035","=""06035""","12.05"
"Modoc","06049","=""06049""","15.92"
"Tulare","06107","=""06107""","14.31"
"Humboldt","06023","=""06023""","29.78"
"Los Angeles","06037","=""06037""","31.81"
"Shasta","06089","=""06089""","22.19"
"Mendocino","06045","=""06045""","24.66"
"San Diego","06073","=""06073""","38.14"
"Imperial","06025","=""06025""","14.45"
"Monterey","06053","=""06053""","24.46"
"Santa Barbara","06083","=""06083""","33.83"
"Trinity","06105","=""06105""","19.72"
"San Luis Obispo","06079","=""06079""","34.61"
"Tehama","06103","=""06103""","15.48"
"Mono","06051","=""06051""","30.63"
"Plumas","06063","=""06063""","23.49"
"Tuolumne","06109","=""06109""","20.03"
"Madera","06039","=""06039""","14.52"
"Ventura","06111","=""06111""","33.10"
"Merced","06047","=""06047""","13.95"
"El Dorado","06017","=""06017""","33.70"
"Sonoma","06097","=""06097""","34.88"
"Butte","06007","=""06007""","26.55"
"Placer","06061","=""06061""","38.55"
"Stanislaus","06099","=""06099""","16.92"
"Mariposa","06043","=""06043""","23.41"
"San Joaquin","06077","=""06077""","18.44"
"Glenn","06021","=""06021""","13.86"
"Del Norte","06015","=""06015""","14.31"
"Lake","06033","=""06033""","15.79"
"San Benito","06069","=""06069""","19.66"
"Kings","06031","=""06031""","13.47"
"Santa Clara","06085","=""06085""","51.33"
"Colusa","06011","=""06011""","15.42"
"Yolo","06113","=""06113""","41.59"
"Calaveras","06009","=""06009""","18.71"
"Nevada","06057","=""06057""","36.63"
"Sacramento","06067","=""06067""","30.44"
"Sierra","06091","=""06091""","18.71"
"Solano","06095","=""06095""","26.20"
"Orange","06059","=""06059""","39.86"
"Marin","06041","=""06041""","58.79"
"Alameda","06001","=""06001""","45.98"
"Contra Costa","06013","=""06013""","41.71"
"Napa","06055","=""06055""","34.90"
"Alpine","06003","=""06003""","29.97"
"San Mateo","06081","=""06081""","49.94"
"Yuba","06115","=""06115""","16.66"
"Sutter","06101","=""06101""","17.72"
"Amador","06005","=""06005""","20.32"
"Santa Cruz","06087","=""06087""","40.04"
"San Francisco","06075","=""06075""","57.14"

"Location: California (State)"

"County Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
