"County","FIPS Code","Formatted FIPS","Estimated median income of a household, between 2015-2019."
"San Bernardino","06071","=""06071""","63362"
"Inyo","06027","=""06027""","57316"
"Kern","06029","=""06029""","53350"
"Siskiyou","06093","=""06093""","45241"
"Riverside","06065","=""06065""","67005"
"Fresno","06019","=""06019""","53969"
"Lassen","06035","=""06035""","56352"
"Modoc","06049","=""06049""","45507"
"Tulare","06107","=""06107""","49687"
"Humboldt","06023","=""06023""","48041"
"Los Angeles","06037","=""06037""","68044"
"Shasta","06089","=""06089""","54667"
"Mendocino","06045","=""06045""","51416"
"San Diego","06073","=""06073""","78980"
"Imperial","06025","=""06025""","47622"
"Monterey","06053","=""06053""","71015"
"Santa Barbara","06083","=""06083""","74624"
"Trinity","06105","=""06105""","40846"
"San Luis Obispo","06079","=""06079""","73518"
"Tehama","06103","=""06103""","44514"
"Mono","06051","=""06051""","62260"
"Plumas","06063","=""06063""","55359"
"Tuolumne","06109","=""06109""","60108"
"Madera","06039","=""06039""","57585"
"Ventura","06111","=""06111""","88131"
"Merced","06047","=""06047""","53672"
"El Dorado","06017","=""06017""","83377"
"Sonoma","06097","=""06097""","81018"
"Butte","06007","=""06007""","52537"
"Placer","06061","=""06061""","89691"
"Stanislaus","06099","=""06099""","60704"
"Mariposa","06043","=""06043""","48820"
"San Joaquin","06077","=""06077""","64432"
"Glenn","06021","=""06021""","49633"
"Del Norte","06015","=""06015""","45283"
"Lake","06033","=""06033""","47040"
"San Benito","06069","=""06069""","86958"
"Kings","06031","=""06031""","57848"
"Santa Clara","06085","=""06085""","124055"
"Colusa","06011","=""06011""","59401"
"Yolo","06113","=""06113""","70228"
"Calaveras","06009","=""06009""","63158"
"Nevada","06057","=""06057""","66096"
"Sacramento","06067","=""06067""","67151"
"Sierra","06091","=""06091""","52148"
"Solano","06095","=""06095""","81472"
"Orange","06059","=""06059""","90234"
"Marin","06041","=""06041""","115246"
"Alameda","06001","=""06001""","99406"
"Contra Costa","06013","=""06013""","99716"
"Napa","06055","=""06055""","88596"
"Alpine","06003","=""06003""","63750"
"San Mateo","06081","=""06081""","122641"
"Yuba","06115","=""06115""","58054"
"Sutter","06101","=""06101""","59050"
"Amador","06005","=""06005""","62772"
"Santa Cruz","06087","=""06087""","82234"
"San Francisco","06075","=""06075""","112449"

"Location: California (State)"

"County Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
