"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households without broadband internet such "
"06067008600, CA","06067008600","=""06067008600""","16.86"
"06067009900, CA","06067009900","=""06067009900""","56.14"
"06067009404, CA","06067009404","=""06067009404""","30.64"
"06067009406, CA","06067009406","=""06067009406""","59.41"
"06067009800, CA","06067009800","=""06067009800""","57.99"
"06067009638, CA","06067009638","=""06067009638""","12.16"
"06067009403, CA","06067009403","=""06067009403""","38.89"
"06067008705, CA","06067008705","=""06067008705""","13.27"
"06067007101, CA","06067007101","=""06067007101""","43.06"
"06067009501, CA","06067009501","=""06067009501""","40.08"
"06067009201, CA","06067009201","=""06067009201""","27.14"
"06067009325, CA","06067009325","=""06067009325""","30.20"
"06067008801, CA","06067008801","=""06067008801""","24.96"
"06067008508, CA","06067008508","=""06067008508""","10.49"
"06067007206, CA","06067007206","=""06067007206""","25.06"
"06067009408, CA","06067009408","=""06067009408""","30.78"
"06067009005, CA","06067009005","=""06067009005""","31.38"
"06067007107, CA","06067007107","=""06067007107""","17.97"
"06067009618, CA","06067009618","=""06067009618""","16.27"
"06067009326, CA","06067009326","=""06067009326""","13.47"
"06067007301, CA","06067007301","=""06067007301""","32.50"
"06067009324, CA","06067009324","=""06067009324""","16.49"
"06067007202, CA","06067007202","=""06067007202""","20.42"
"06067008501, CA","06067008501","=""06067008501""","6.46"
"06067009502, CA","06067009502","=""06067009502""","24.83"
"06067007207, CA","06067007207","=""06067007207""","20.81"
"06067005205, CA","06067005205","=""06067005205""","29.29"
"06067007204, CA","06067007204","=""06067007204""","25.05"
"06067009635, CA","06067009635","=""06067009635""","11.30"
"06067009332, CA","06067009332","=""06067009332""","13.86"
"06067008211, CA","06067008211","=""06067008211""","19.61"
"06067009601, CA","06067009601","=""06067009601""","22.93"
"06067007208, CA","06067007208","=""06067007208""","14.14"
"06067007017, CA","06067007017","=""06067007017""","10.75"
"06067009407, CA","06067009407","=""06067009407""","20.70"
"06067007106, CA","06067007106","=""06067007106""","11.99"
"06067008504, CA","06067008504","=""06067008504""","10.98"
"06067009311, CA","06067009311","=""06067009311""","14.73"
"06067005301, CA","06067005301","=""06067005301""","55.35"
"06067008005, CA","06067008005","=""06067008005""","13.67"
"06067008203, CA","06067008203","=""06067008203""","19.99"
"06067008210, CA","06067008210","=""06067008210""","16.97"
"06067009330, CA","06067009330","=""06067009330""","12.92"
"06067007015, CA","06067007015","=""06067007015""","15.08"
"06067007019, CA","06067007019","=""06067007019""","21.21"
"06067008703, CA","06067008703","=""06067008703""","22.03"
"06067007413, CA","06067007413","=""06067007413""","39.36"
"06067005402, CA","06067005402","=""06067005402""","29.50"
"06067008006, CA","06067008006","=""06067008006""","13.71"
"06067006900, CA","06067006900","=""06067006900""","48.47"
"06067009011, CA","06067009011","=""06067009011""","12.51"
"06067008010, CA","06067008010","=""06067008010""","18.56"
"06067009314, CA","06067009314","=""06067009314""","26.58"
"06067009310, CA","06067009310","=""06067009310""","20.86"
"06067009322, CA","06067009322","=""06067009322""","14.04"
"06067007016, CA","06067007016","=""06067007016""","19.69"
"06067003800, CA","06067003800","=""06067003800""","34.52"
"06067007018, CA","06067007018","=""06067007018""","12.10"
"06067007802, CA","06067007802","=""06067007802""","19.27"
"06067009010, CA","06067009010","=""06067009010""","20.88"
"06067007421, CA","06067007421","=""06067007421""","10.00"
"06067007406, CA","06067007406","=""06067007406""","26.86"
"06067008009, CA","06067008009","=""06067008009""","27.27"
"06067007102, CA","06067007102","=""06067007102""","9.88"
"06067008913, CA","06067008913","=""06067008913""","27.10"
"06067005404, CA","06067005404","=""06067005404""","24.25"
"06067008512, CA","06067008512","=""06067008512""","5.54"
"06067008510, CA","06067008510","=""06067008510""","13.48"
"06067006702, CA","06067006702","=""06067006702""","35.46"
"06067007007, CA","06067007007","=""06067007007""","30.56"
"06067006500, CA","06067006500","=""06067006500""","43.51"
"06067008207, CA","06067008207","=""06067008207""","15.15"
"06067009608, CA","06067009608","=""06067009608""","15.40"
"06067005803, CA","06067005803","=""06067005803""","13.53"
"06067009323, CA","06067009323","=""06067009323""","15.67"
"06067004300, CA","06067004300","=""06067004300""","27.99"
"06067009503, CA","06067009503","=""06067009503""","51.39"
"06067005204, CA","06067005204","=""06067005204""","16.82"
"06067008507, CA","06067008507","=""06067008507""","17.00"
"06067007801, CA","06067007801","=""06067007801""","24.28"
"06067008208, CA","06067008208","=""06067008208""","29.09"
"06067008209, CA","06067008209","=""06067008209""","12.66"
"06067001700, CA","06067001700","=""06067001700""","29.24"
"06067007504, CA","06067007504","=""06067007504""","20.43"
"06067006400, CA","06067006400","=""06067006400""","47.44"
"06067005901, CA","06067005901","=""06067005901""","16.39"
"06067004001, CA","06067004001","=""06067004001""","29.66"
"06067008145, CA","06067008145","=""06067008145""","16.87"
"06067008513, CA","06067008513","=""06067008513""","6.49"
"06067007001, CA","06067007001","=""06067007001""","43.59"
"06067988300, CA","06067988300","=""06067988300""","45.71"
"06067006701, CA","06067006701","=""06067006701""","26.11"
"06067005702, CA","06067005702","=""06067005702""","8.36"
"06067008702, CA","06067008702","=""06067008702""","10.04"
"06067008402, CA","06067008402","=""06067008402""","15.88"
"06067002400, CA","06067002400","=""06067002400""","13.00"
"06067009619, CA","06067009619","=""06067009619""","26.37"
"06067009328, CA","06067009328","=""06067009328""","12.47"
"06067005102, CA","06067005102","=""06067005102""","32.85"
"06067005002, CA","06067005002","=""06067005002""","45.86"
"06067001600, CA","06067001600","=""06067001600""","15.33"
"06067008008, CA","06067008008","=""06067008008""","14.54"
"06067004004, CA","06067004004","=""06067004004""","21.05"
"06067007601, CA","06067007601","=""06067007601""","27.56"
"06067009622, CA","06067009622","=""06067009622""","12.66"
"06067009112, CA","06067009112","=""06067009112""","20.99"
"06067008403, CA","06067008403","=""06067008403""","17.13"
"06067008404, CA","06067008404","=""06067008404""","21.74"
"06067009636, CA","06067009636","=""06067009636""","14.93"
"06067005804, CA","06067005804","=""06067005804""","18.30"
"06067008131, CA","06067008131","=""06067008131""","18.44"
"06067009006, CA","06067009006","=""06067009006""","38.59"
"06067009308, CA","06067009308","=""06067009308""","18.51"
"06067007004, CA","06067007004","=""06067007004""","25.50"
"06067007402, CA","06067007402","=""06067007402""","31.78"
"06067005502, CA","06067005502","=""06067005502""","39.40"
"06067009639, CA","06067009639","=""06067009639""","33.09"
"06067008111, CA","06067008111","=""06067008111""","20.28"
"06067008206, CA","06067008206","=""06067008206""","19.19"
"06067006300, CA","06067006300","=""06067006300""","36.99"
"06067006101, CA","06067006101","=""06067006101""","38.87"
"06067009615, CA","06067009615","=""06067009615""","14.06"
"06067002200, CA","06067002200","=""06067002200""","27.09"
"06067009317, CA","06067009317","=""06067009317""","18.96"
"06067008909, CA","06067008909","=""06067008909""","19.27"
"06067009606, CA","06067009606","=""06067009606""","45.49"
"06067004502, CA","06067004502","=""06067004502""","34.13"
"06067009630, CA","06067009630","=""06067009630""","11.76"
"06067007010, CA","06067007010","=""06067007010""","17.32"
"06067007702, CA","06067007702","=""06067007702""","22.49"
"06067005801, CA","06067005801","=""06067005801""","16.95"
"06067007501, CA","06067007501","=""06067007501""","29.19"
"06067005701, CA","06067005701","=""06067005701""","16.62"
"06067007433, CA","06067007433","=""06067007433""","18.39"
"06067005904, CA","06067005904","=""06067005904""","30.16"
