"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population with At Least Bachelor's Degree","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"County","Alameda","CA","06001","=""06001""","48.67","2016-2020","2020","Census","California (State)"
"County","Alpine","CA","06003","=""06003""","38.40","2016-2020","2020","Census","California (State)"
"County","Amador","CA","06005","=""06005""","18.10","2016-2020","2020","Census","California (State)"
"County","Butte","CA","06007","=""06007""","28.32","2016-2020","2020","Census","California (State)"
"County","Calaveras","CA","06009","=""06009""","19.82","2016-2020","2020","Census","California (State)"
"County","Colusa","CA","06011","=""06011""","14.88","2016-2020","2020","Census","California (State)"
"County","Contra Costa","CA","06013","=""06013""","43.33","2016-2020","2020","Census","California (State)"
"County","Del Norte","CA","06015","=""06015""","15.39","2016-2020","2020","Census","California (State)"
"County","El Dorado","CA","06017","=""06017""","35.24","2016-2020","2020","Census","California (State)"
"County","Fresno","CA","06019","=""06019""","22.03","2016-2020","2020","Census","California (State)"
"County","Glenn","CA","06021","=""06021""","14.45","2016-2020","2020","Census","California (State)"
"County","Humboldt","CA","06023","=""06023""","30.90","2016-2020","2020","Census","California (State)"
"County","Imperial","CA","06025","=""06025""","15.38","2016-2020","2020","Census","California (State)"
"County","Inyo","CA","06027","=""06027""","26.37","2016-2020","2020","Census","California (State)"
"County","Kern","CA","06029","=""06029""","17.12","2016-2020","2020","Census","California (State)"
"County","Kings","CA","06031","=""06031""","15.04","2016-2020","2020","Census","California (State)"
"County","Lake","CA","06033","=""06033""","16.72","2016-2020","2020","Census","California (State)"
"County","Lassen","CA","06035","=""06035""","12.65","2016-2020","2020","Census","California (State)"
"County","Los Angeles","CA","06037","=""06037""","33.54","2016-2020","2020","Census","California (State)"
"County","Madera","CA","06039","=""06039""","15.22","2016-2020","2020","Census","California (State)"
"County","Marin","CA","06041","=""06041""","60.16","2016-2020","2020","Census","California (State)"
"County","Mariposa","CA","06043","=""06043""","26.91","2016-2020","2020","Census","California (State)"
"County","Mendocino","CA","06045","=""06045""","23.99","2016-2020","2020","Census","California (State)"
"County","Merced","CA","06047","=""06047""","14.09","2016-2020","2020","Census","California (State)"
"County","Modoc","CA","06049","=""06049""","18.19","2016-2020","2020","Census","California (State)"
"County","Mono","CA","06051","=""06051""","32.07","2016-2020","2020","Census","California (State)"
"County","Monterey","CA","06053","=""06053""","26.25","2016-2020","2020","Census","California (State)"
"County","Napa","CA","06055","=""06055""","37.20","2016-2020","2020","Census","California (State)"
"County","Nevada","CA","06057","=""06057""","37.57","2016-2020","2020","Census","California (State)"
"County","Orange","CA","06059","=""06059""","41.25","2016-2020","2020","Census","California (State)"
"County","Placer","CA","06061","=""06061""","40.77","2016-2020","2020","Census","California (State)"
"County","Plumas","CA","06063","=""06063""","24.52","2016-2020","2020","Census","California (State)"
"County","Riverside","CA","06065","=""06065""","23.25","2016-2020","2020","Census","California (State)"
"County","Sacramento","CA","06067","=""06067""","31.45","2016-2020","2020","Census","California (State)"
"County","San Benito","CA","06069","=""06069""","20.12","2016-2020","2020","Census","California (State)"
"County","San Bernardino","CA","06071","=""06071""","21.36","2016-2020","2020","Census","California (State)"
"County","San Diego","CA","06073","=""06073""","39.46","2016-2020","2020","Census","California (State)"
"County","San Francisco","CA","06075","=""06075""","58.76","2016-2020","2020","Census","California (State)"
"County","San Joaquin","CA","06077","=""06077""","19.16","2016-2020","2020","Census","California (State)"
"County","San Luis Obispo","CA","06079","=""06079""","36.08","2016-2020","2020","Census","California (State)"
"County","San Mateo","CA","06081","=""06081""","52.07","2016-2020","2020","Census","California (State)"
"County","Santa Barbara","CA","06083","=""06083""","34.97","2016-2020","2020","Census","California (State)"
"County","Santa Clara","CA","06085","=""06085""","53.47","2016-2020","2020","Census","California (State)"
"County","Santa Cruz","CA","06087","=""06087""","41.83","2016-2020","2020","Census","California (State)"
"County","Shasta","CA","06089","=""06089""","22.13","2016-2020","2020","Census","California (State)"
"County","Sierra","CA","06091","=""06091""","19.37","2016-2020","2020","Census","California (State)"
"County","Siskiyou","CA","06093","=""06093""","22.10","2016-2020","2020","Census","California (State)"
"County","Solano","CA","06095","=""06095""","27.06","2016-2020","2020","Census","California (State)"
"County","Sonoma","CA","06097","=""06097""","36.43","2016-2020","2020","Census","California (State)"
"County","Stanislaus","CA","06099","=""06099""","17.70","2016-2020","2020","Census","California (State)"
"County","Sutter","CA","06101","=""06101""","20.03","2016-2020","2020","Census","California (State)"
"County","Tehama","CA","06103","=""06103""","17.43","2016-2020","2020","Census","California (State)"
"County","Trinity","CA","06105","=""06105""","19.23","2016-2020","2020","Census","California (State)"
"County","Tulare","CA","06107","=""06107""","14.53","2016-2020","2020","Census","California (State)"
"County","Tuolumne","CA","06109","=""06109""","22.34","2016-2020","2020","Census","California (State)"
"County","Ventura","CA","06111","=""06111""","33.89","2016-2020","2020","Census","California (State)"
"County","Yolo","CA","06113","=""06113""","42.62","2016-2020","2020","Census","California (State)"
"County","Yuba","CA","06115","=""06115""","18.01","2016-2020","2020","Census","California (State)"
