"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"County","Alameda","CA","06001","=""06001""","104888","2016-2020","2020","Census","California (State)"
"County","Alpine","CA","06003","=""06003""","85750","2016-2020","2020","Census","California (State)"
"County","Amador","CA","06005","=""06005""","65187","2016-2020","2020","Census","California (State)"
"County","Butte","CA","06007","=""06007""","54972","2016-2020","2020","Census","California (State)"
"County","Calaveras","CA","06009","=""06009""","67054","2016-2020","2020","Census","California (State)"
"County","Colusa","CA","06011","=""06011""","59427","2016-2020","2020","Census","California (State)"
"County","Contra Costa","CA","06013","=""06013""","103997","2016-2020","2020","Census","California (State)"
"County","Del Norte","CA","06015","=""06015""","49981","2016-2020","2020","Census","California (State)"
"County","El Dorado","CA","06017","=""06017""","83710","2016-2020","2020","Census","California (State)"
"County","Fresno","CA","06019","=""06019""","57109","2016-2020","2020","Census","California (State)"
"County","Glenn","CA","06021","=""06021""","51682","2016-2020","2020","Census","California (State)"
"County","Humboldt","CA","06023","=""06023""","49235","2016-2020","2020","Census","California (State)"
"County","Imperial","CA","06025","=""06025""","46222","2016-2020","2020","Census","California (State)"
"County","Inyo","CA","06027","=""06027""","59296","2016-2020","2020","Census","California (State)"
"County","Kern","CA","06029","=""06029""","54851","2016-2020","2020","Census","California (State)"
"County","Kings","CA","06031","=""06031""","61556","2016-2020","2020","Census","California (State)"
"County","Lake","CA","06033","=""06033""","49254","2016-2020","2020","Census","California (State)"
"County","Lassen","CA","06035","=""06035""","56971","2016-2020","2020","Census","California (State)"
"County","Los Angeles","CA","06037","=""06037""","71358","2016-2020","2020","Census","California (State)"
"County","Madera","CA","06039","=""06039""","61924","2016-2020","2020","Census","California (State)"
"County","Marin","CA","06041","=""06041""","121671","2016-2020","2020","Census","California (State)"
"County","Mariposa","CA","06043","=""06043""","50960","2016-2020","2020","Census","California (State)"
"County","Mendocino","CA","06045","=""06045""","52915","2016-2020","2020","Census","California (State)"
"County","Merced","CA","06047","=""06047""","56330","2016-2020","2020","Census","California (State)"
"County","Modoc","CA","06049","=""06049""","51250","2016-2020","2020","Census","California (State)"
"County","Mono","CA","06051","=""06051""","64924","2016-2020","2020","Census","California (State)"
"County","Monterey","CA","06053","=""06053""","76943","2016-2020","2020","Census","California (State)"
"County","Napa","CA","06055","=""06055""","92219","2016-2020","2020","Census","California (State)"
"County","Nevada","CA","06057","=""06057""","68333","2016-2020","2020","Census","California (State)"
"County","Orange","CA","06059","=""06059""","94441","2016-2020","2020","Census","California (State)"
"County","Placer","CA","06061","=""06061""","93677","2016-2020","2020","Census","California (State)"
"County","Plumas","CA","06063","=""06063""","57233","2016-2020","2020","Census","California (State)"
"County","Riverside","CA","06065","=""06065""","70732","2016-2020","2020","Census","California (State)"
"County","Sacramento","CA","06067","=""06067""","70684","2016-2020","2020","Census","California (State)"
"County","San Benito","CA","06069","=""06069""","85808","2016-2020","2020","Census","California (State)"
"County","San Bernardino","CA","06071","=""06071""","65761","2016-2020","2020","Census","California (State)"
"County","San Diego","CA","06073","=""06073""","82426","2016-2020","2020","Census","California (State)"
"County","San Francisco","CA","06075","=""06075""","119136","2016-2020","2020","Census","California (State)"
"County","San Joaquin","CA","06077","=""06077""","68628","2016-2020","2020","Census","California (State)"
"County","San Luis Obispo","CA","06079","=""06079""","77948","2016-2020","2020","Census","California (State)"
"County","San Mateo","CA","06081","=""06081""","128091","2016-2020","2020","Census","California (State)"
"County","Santa Barbara","CA","06083","=""06083""","78925","2016-2020","2020","Census","California (State)"
"County","Santa Clara","CA","06085","=""06085""","130890","2016-2020","2020","Census","California (State)"
"County","Santa Cruz","CA","06087","=""06087""","89986","2016-2020","2020","Census","California (State)"
"County","Shasta","CA","06089","=""06089""","57139","2016-2020","2020","Census","California (State)"
"County","Sierra","CA","06091","=""06091""","52103","2016-2020","2020","Census","California (State)"
"County","Siskiyou","CA","06093","=""06093""","47403","2016-2020","2020","Census","California (State)"
"County","Solano","CA","06095","=""06095""","84638","2016-2020","2020","Census","California (State)"
"County","Sonoma","CA","06097","=""06097""","86173","2016-2020","2020","Census","California (State)"
"County","Stanislaus","CA","06099","=""06099""","62873","2016-2020","2020","Census","California (State)"
"County","Sutter","CA","06101","=""06101""","63502","2016-2020","2020","Census","California (State)"
"County","Tehama","CA","06103","=""06103""","48895","2016-2020","2020","Census","California (State)"
"County","Trinity","CA","06105","=""06105""","41780","2016-2020","2020","Census","California (State)"
"County","Tulare","CA","06107","=""06107""","52534","2016-2020","2020","Census","California (State)"
"County","Tuolumne","CA","06109","=""06109""","60509","2016-2020","2020","Census","California (State)"
"County","Ventura","CA","06111","=""06111""","89295","2016-2020","2020","Census","California (State)"
"County","Yolo","CA","06113","=""06113""","73746","2016-2020","2020","Census","California (State)"
"County","Yuba","CA","06115","=""06115""","59424","2016-2020","2020","Census","California (State)"
