"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Households without Broadband Cable, Fiber Optic, or DSL","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phh_nocablefiberdsl","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067000100","CA","06067000100","=""06067000100""","12.63","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000200","CA","06067000200","=""06067000200""","19.38","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000300","CA","06067000300","=""06067000300""","7.54","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000400","CA","06067000400","=""06067000400""","14.11","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000501","CA","06067000501","=""06067000501""","35.14","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000502","CA","06067000502","=""06067000502""","17.20","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000600","CA","06067000600","=""06067000600""","31.78","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000700","CA","06067000700","=""06067000700""","55.07","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067000800","CA","06067000800","=""06067000800""","19.91","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001102","CA","06067001102","=""06067001102""","21.67","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001103","CA","06067001103","=""06067001103""","42.50","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001201","CA","06067001201","=""06067001201""","25.53","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001202","CA","06067001202","=""06067001202""","41.49","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001300","CA","06067001300","=""06067001300""","14.59","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001400","CA","06067001400","=""06067001400""","21.26","2016-2020","2020","Census","Sacramento (County, 2020)"
"Census Tract","06067001500","CA","06067001500","=""06067001500""","19.66","2016-2020","2020","Census","Sacramento (County, 2020)"
