GEOID,county,state,tract,medincome,rent,tpop,pnewh,medhval,pwht,pblk,pasn,phsp,region
6001400100,Alameda County,California,Census Tract 4001,177417,3202,3018,0.124536694,1074100,0.710735586,0.030483764,0.162690524,0.027501657,Bay Area
6001400200,Alameda County,California,Census Tract 4002,153125,1770,1960,0.008284024,978900,0.72755102,0.005612245,0.084183673,0.107653061,Bay Area
6001400300,Alameda County,California,Census Tract 4003,85313,1208,5236,0.004696673,912700,0.639037433,0.115737204,0.114400306,0.073720397,Bay Area
6001400400,Alameda County,California,Census Tract 4004,99539,1584,4171,0.005344735,848900,0.661232318,0.09829777,0.109805802,0.063773675,Bay Area
6001400500,Alameda County,California,Census Tract 4005,83650,1438,3748,0.025398701,683500,0.526147279,0.251867663,0.037353255,0.129669157,Bay Area
6001400600,Alameda County,California,Census Tract 4006,61597,1221,1661,0.005347594,572300,0.382901866,0.351595424,0.069837447,0.09512342,Bay Area
6001400700,Alameda County,California,Census Tract 4007,46424,1197,4552,0.021694215,608500,0.373462214,0.371485062,0.026142355,0.165202109,Bay Area
6001400800,Alameda County,California,Census Tract 4008,61111,1329,3506,0.213680045,535600,0.396463206,0.311751284,0.124358243,0.120079863,Bay Area
6001400900,Alameda County,California,Census Tract 4009,55691,1457,2262,0.03768624,505100,0.397435897,0.3244916,0.08311229,0.116710875,Bay Area
6001401000,Alameda County,California,Census Tract 4010,51073,1191,6193,0.059728838,422100,0.309058615,0.332149201,0.03132569,0.22283223,Bay Area
6001401100,Alameda County,California,Census Tract 4011,71205,1324,4138,0.054834055,596200,0.514741421,0.161672305,0.150314161,0.109956501,Bay Area
6001401200,Alameda County,California,Census Tract 4012,83208,1371,2614,0.026315789,665900,0.568477429,0.140015302,0.071155318,0.167559296,Bay Area
6001401300,Alameda County,California,Census Tract 4013,37123,972,3976,0.197899392,588300,0.323692153,0.324195171,0.17831992,0.127263581,Bay Area
6001401400,Alameda County,California,Census Tract 4014,25985,982,4108,0.022003474,363900,0.168208374,0.394352483,0.085686465,0.27872444,Bay Area
6001401500,Alameda County,California,Census Tract 4015,48903,1029,2605,0.172673931,405400,0.367370441,0.387332054,0.072552783,0.120537428,Bay Area
6001401600,Alameda County,California,Census Tract 4016,36544,1183,2173,0.178034682,366700,0.254947078,0.328117809,0.107225035,0.219972388,Bay Area
6001401700,Alameda County,California,Census Tract 4017,66308,1229,2679,0.41108545,408700,0.317655842,0.239641657,0.099664054,0.314296379,Bay Area
6001401800,Alameda County,California,Census Tract 4018,28185,944,1866,0.058823529,426700,0.273311897,0.427652733,0.023043944,0.193461951,Bay Area
6001402200,Alameda County,California,Census Tract 4022,45400,956,2406,0.201663202,465400,0.270989194,0.319201995,0.141729011,0.226517041,Bay Area
6001402400,Alameda County,California,Census Tract 4024,33724,840,2773,0.005838198,4.50E+05,0.218175261,0.554994591,0.109267941,0.085467003,Bay Area
6001402500,Alameda County,California,Census Tract 4025,23693,746,1833,0.088803089,326700,0.084560829,0.638843426,0.043098745,0.192580469,Bay Area
6001402600,Alameda County,California,Census Tract 4026,22955,801,1272,0.303120357,346600,0.172169811,0.257075472,0.470125786,0.073899371,Bay Area
6001402700,Alameda County,California,Census Tract 4027,44792,1072,1734,0.075167785,417900,0.275086505,0.355824683,0.100922722,0.228373702,Bay Area
6001402800,Alameda County,California,Census Tract 4028,17363,771,3798,0.453849254,5.50E+05,0.240126382,0.416535018,0.21116377,0.088730911,Bay Area
6001402900,Alameda County,California,Census Tract 4029,28854,886,1392,0,577254.0644,0.234195402,0.20545977,0.369252874,0.119971264,Bay Area
6001403000,Alameda County,California,Census Tract 4030,19490,631,3167,0.128409091,397100,0.06630881,0.043890117,0.823176508,0.017682349,Bay Area
6001403100,Alameda County,California,Census Tract 4031,51184,909,1721,0.377593361,4.35E+05,0.253341081,0.175479372,0.429401511,0.099360837,Bay Area
6001403300,Alameda County,California,Census Tract 4033,52246,1414,4159,0.374025974,346700,0.20413561,0.096417408,0.54484251,0.075979803,Bay Area
6001403400,Alameda County,California,Census Tract 4034,51172,1135,4360,0.116705569,397300,0.374770642,0.219495413,0.251605505,0.086238532,Bay Area
6001403501,Alameda County,California,Census Tract 4035.01,37032,1010,4435,0.140674956,439800,0.331003382,0.238782413,0.230439684,0.120180383,Bay Area
6001403502,Alameda County,California,Census Tract 4035.02,67672,1426,2081,0.003930818,385900,0.516578568,0.20326766,0.150408457,0.082652571,Bay Area
6001403600,Alameda County,California,Census Tract 4036,70600,1317,4751,0.011832061,408700,0.378446643,0.288781309,0.119132814,0.12607872,Bay Area
6001403701,Alameda County,California,Census Tract 4037.01,66086,1306,2755,0,304900,0.553176044,0.17168784,0.087477314,0.105263158,Bay Area
6001403702,Alameda County,California,Census Tract 4037.02,78266,1621,2027,0.008453085,569400,0.584114455,0.086334484,0.137641835,0.121854958,Bay Area
6001403800,Alameda County,California,Census Tract 4038,85313,1477,3323,0,783800,0.643996389,0.076436955,0.115558231,0.08426121,Bay Area
6001403900,Alameda County,California,Census Tract 4039,73125,1379,3938,0,352500,0.546724225,0.170391061,0.17496191,0.040375825,Bay Area
6001404000,Alameda County,California,Census Tract 4040,77065,1323,2932,0.00508762,432200,0.594133697,0.060368349,0.107435198,0.146657572,Bay Area
6001404101,Alameda County,California,Census Tract 4041.01,86635,1523,3187,0.016505407,638600,0.656416693,0.055224349,0.118920615,0.067775337,Bay Area
6001404102,Alameda County,California,Census Tract 4041.02,77303,1279,2438,0.043397396,432100,0.66242822,0.10828548,0.11730927,0.089417555,Bay Area
6001404200,Alameda County,California,Census Tract 4042,169519,2263,3650,0.018637993,1047400,0.664383562,0.135616438,0.091780822,0.049589041,Bay Area
6001404300,Alameda County,California,Census Tract 4043,193523,1773,3329,0.031626506,1163100,0.642234905,0.049564434,0.120756984,0.107539802,Bay Area
6001404400,Alameda County,California,Census Tract 4044,150074,2280,5404,0.133445946,853200,0.69411547,0.020355292,0.175055514,0.066247224,Bay Area
6001404501,Alameda County,California,Census Tract 4045.01,181484,1804,1836,0.017316017,999400,0.649782135,0.044117647,0.138888889,0.081699346,Bay Area
6001404502,Alameda County,California,Census Tract 4045.02,133068,2262,5403,0.004275331,779400,0.660188784,0.049046826,0.129927818,0.081251157,Bay Area
6001404600,Alameda County,California,Census Tract 4046,163322,2750,4347,0.021428571,854800,0.731078905,0.046468829,0.133195307,0.037727168,Bay Area
6001404700,Alameda County,California,Census Tract 4047,159107,2409,2166,0.011138614,862700,0.706371191,0.052631579,0.126962142,0.077562327,Bay Area
6001404800,Alameda County,California,Census Tract 4048,61875,1105,2784,0.030256012,685300,0.40625,0.191810345,0.197557471,0.096264368,Bay Area
6001404900,Alameda County,California,Census Tract 4049,84375,1112,3995,0.02970297,636300,0.565707134,0.105882353,0.122152691,0.114643304,Bay Area
6001405000,Alameda County,California,Census Tract 4050,122237,1522,3248,0.00313087,722800,0.649014778,0.094827586,0.118842365,0.076970443,Bay Area
6001405100,Alameda County,California,Census Tract 4051,182153,1428,4265,0.00436409,1117100,0.640093787,0.16014068,0.104337632,0.031887456,Bay Area
6001405200,Alameda County,California,Census Tract 4052,75417,1368,5099,0.026835043,7.40E+05,0.332025887,0.108060404,0.273975289,0.165522652,Bay Area
6001405301,Alameda County,California,Census Tract 4053.01,60928,1278,2899,0.014687882,599300,0.435667472,0.252845809,0.141428079,0.118316661,Bay Area
6001405302,Alameda County,California,Census Tract 4053.02,35638,950,2616,0.065883888,4.00E+05,0.260703364,0.122706422,0.324923547,0.201070336,Bay Area
6001405401,Alameda County,California,Census Tract 4054.01,39712,993,4087,0.008953553,422100,0.167849278,0.173721556,0.375825789,0.247369709,Bay Area
6001405402,Alameda County,California,Census Tract 4054.02,33555,1138,3239,0.031350482,3.31E+05,0.095399815,0.286508182,0.391478851,0.138623032,Bay Area
6001405500,Alameda County,California,Census Tract 4055,50225,1128,4104,0,360300,0.204922027,0.179824561,0.442495127,0.118664717,Bay Area
6001405600,Alameda County,California,Census Tract 4056,53063,1185,3148,0.005442177,395500,0.290343075,0.173761118,0.276683609,0.214421855,Bay Area
