GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
261635001001000,58,8,50,0,0,0.862069,0.137931,0,0
261635001001011,79,5,72,0,0,0.9113924,0.0632911,0,0
261635001001018,62,7,55,0,0,0.8870968,0.1129032,0,0
261635001001001,72,17,51,0,0,0.7083333,0.2361111,0,0
261635001001002,57,6,50,0,1,0.877193,0.1052632,0,0.0175439
261635001001017,73,10,60,0,0,0.8219178,0.1369863,0,0
261635001001003,77,4,73,0,0,0.9480519,0.0519481,0,0
261635001001004,29,1,27,0,0,0.9310345,0.0344828,0,0
261635001001012,68,2,64,0,0,0.9411765,0.0294118,0,0
261635001001006,72,11,60,0,0,0.8333333,0.1527778,0,0
261635001001009,109,11,98,0,0,0.8990826,0.1009174,0,0
261635001001010,76,10,65,0,0,0.8552632,0.1315789,0,0
261635001001013,98,2,95,0,1,0.9693878,0.0204082,0,0.0102041
261635001001016,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635001001019,80,16,52,1,7,0.65,0.2,0.0125,0.0875
261635001001020,72,5,67,0,0,0.9305556,0.0694444,0,0
261635001001021,64,3,61,0,0,0.953125,0.046875,0,0
261635001001008,75,5,70,0,0,0.9333333,0.0666667,0,0
261635001001007,77,4,73,0,0,0.9480519,0.0519481,0,0
261635001001015,59,3,51,0,5,0.8644068,0.0508475,0,0.0847458
261635001001005,66,1,65,0,0,0.9848485,0.0151515,0,0
261635001001014,55,2,52,0,1,0.9454545,0.0363636,0,0.0181818
261635001002000,40,11,27,0,2,0.675,0.275,0,0.05
261635001002001,73,12,61,0,0,0.8356164,0.1643836,0,0
261635001002004,70,6,56,0,3,0.8,0.0857143,0,0.0428571
261635001002005,3,0,3,0,0,1,0,0,0
261635001002006,54,11,42,0,0,0.7777778,0.2037037,0,0
261635001002002,78,8,68,1,0,0.8717949,0.1025641,0.012821,0
261635001002003,74,5,67,0,0,0.9054054,0.0675676,0,0
261635001002009,22,3,19,0,0,0.8636364,0.1363636,0,0
261635001002010,105,17,85,0,0,0.8095238,0.1619048,0,0
261635001002012,64,7,53,0,2,0.828125,0.109375,0,0.03125
261635001002011,85,8,75,0,0,0.8823529,0.0941176,0,0
261635001002013,52,5,47,0,0,0.9038462,0.0961538,0,0
261635001002014,9,2,6,0,1,0.6666667,0.2222222,0,0.1111111
261635001002008,69,6,63,0,0,0.9130435,0.0869565,0,0
261635001002007,73,2,68,0,0,0.9315068,0.0273973,0,0
261635001003009,68,4,61,0,3,0.8970588,0.0588235,0,0.0441176
261635001003011,39,1,38,0,0,0.974359,0.025641,0,0
261635001003000,65,7,58,0,0,0.8923077,0.1076923,0,0
261635001003002,76,3,71,0,0,0.9342105,0.0394737,0,0
261635001003001,76,7,67,0,0,0.8815789,0.0921053,0,0
261635001003008,96,6,89,0,0,0.9270833,0.0625,0,0
261635001003003,91,5,78,0,6,0.8571429,0.0549451,0,0.0659341
261635001003010,112,3,103,0,1,0.9196429,0.0267857,0,0.0089286
261635001003004,78,5,71,0,0,0.9102564,0.0641026,0,0
261635001003005,81,4,77,0,0,0.9506173,0.0493827,0,0
261635001003007,104,11,91,0,0,0.875,0.1057692,0,0
261635001003006,80,7,73,0,0,0.9125,0.0875,0,0
261635001004000,87,10,77,0,0,0.8850575,0.1149425,0,0
261635001004003,53,5,47,0,0,0.8867925,0.0943396,0,0
261635001004007,60,6,53,0,0,0.8833333,0.1,0,0
261635001004008,79,7,67,0,0,0.8481013,0.0886076,0,0
261635001004009,50,4,43,3,0,0.86,0.08,0.06,0
261635001004001,88,7,78,0,0,0.8863636,0.0795455,0,0
261635001004002,86,5,79,0,0,0.9186047,0.0581395,0,0
261635001004004,72,10,57,0,3,0.7916667,0.1388889,0,0.0416667
261635001004005,59,9,47,0,0,0.7966102,0.1525424,0,0
261635001004006,83,4,77,0,2,0.9277108,0.0481928,0,0.0240964
261635002001000,49,0,49,0,0,1,0,0,0
261635002001001,43,0,43,0,0,1,0,0,0
261635002001002,41,7,33,0,1,0.804878,0.1707317,0,0.0243902
261635002001003,77,4,72,0,0,0.9350649,0.0519481,0,0
261635002001004,61,16,45,0,0,0.7377049,0.2622951,0,0
261635002001005,83,9,73,0,1,0.8795181,0.1084337,0,0.0120482
261635002001007,69,10,59,0,0,0.8550725,0.1449275,0,0
261635002001008,84,2,78,0,1,0.9285714,0.0238095,0,0.0119048
261635002001009,94,5,87,2,0,0.9255319,0.0531915,0.021277,0
261635002001010,86,2,83,0,0,0.9651163,0.0232558,0,0
261635002001006,72,6,63,0,0,0.875,0.0833333,0,0
261635002001011,58,6,52,0,0,0.8965517,0.10344830000000001,0,0
261635002002000,87,12,71,0,0,0.816092,0.137931,0,0
261635002002002,83,2,75,5,1,0.9036145,0.0240964,0.060241,0.0120482
261635002002003,73,0,73,0,0,1,0,0,0
261635002002004,81,7,74,0,0,0.9135802,0.0864198,0,0
261635002002005,83,11,72,0,0,0.8674699,0.1325301,0,0
