Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,latitude,longitude
Alamo Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS001,5,10,PS,3.87E+13,"250 23RD AVE, San Francisco, CA 94121",1,6075,SAN FRANCISCO,37.7830048,-122.4822998
Alvarado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS002,5,10,PS,3.87E+13,"625 DOUGLASS ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,37.7536812,-122.4381943
Argonne Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS005,5,10,PS,3.87E+13,"680 18TH AVE, San Francisco, CA 94121",1,6075,SAN FRANCISCO,37.7753067,-122.4763107
"Carver, Dr. George Washington Carver Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS014,5,10,PS,3.87E+13,"1360 OAKDALE AVE, San Francisco, CA 94124",10,6075,SAN FRANCISCO,37.7316666,-122.3853378
"Chin, John Yehall Chin Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS016,5,10,PS,3.87E+13,"350 BROADWAY, San Francisco, CA 94133",3,6075,SAN FRANCISCO,37.7986107,-122.4032211
Chinese Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS017,5,10,PS,3.87E+13,"657 MERCHANT ST, SAN FRANCISCO, CA 94111",3,6075,SAN FRANCISCO,37.7947693,-122.4040604
Clarendon Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS020,5,10,PS,3.87E+13,"500 CLARENDON AVE, San Francisco, CA 94131",7,6075,SAN FRANCISCO,37.7537537,-122.4562683
Cleveland Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS021,5,10,PS,3.87E+13,"455 ATHENS ST, San Francisco, CA 94112",11,6075,SAN FRANCISCO,37.7203407,-122.4291916
El Dorado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS028,5,10,PS,3.87E+13,"70 DELTA ST, San Francisco, CA 94134",10,6075,SAN FRANCISCO,37.7186584,-122.4078522
"Feinstein, Dianne Feinstein Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS031,5,10,PS,3.87E+13,"2550 25TH AVE, San Francisco, CA 94116",4,6075,SAN FRANCISCO,37.7396851,-122.481369
"Flynn, Leonard Flynn Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS033,5,10,PS,3.87E+13,"3125 CESAR CHAVEZ ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,37.7477455,-122.4119644
Garfield Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS036,5,10,PS,3.87E+13,"420 FILBERT ST, San Francisco, CA 94133",3,6075,SAN FRANCISCO,37.8020363,-122.4066925
Glen Park Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS040,5,10,PS,3.87E+13,"151 LIPPARD AVE, San Francisco, CA 94131",8,6075,SAN FRANCISCO,37.7331314,-122.4356232
Hillcrest Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS046,5,10,PS,3.87E+13,"810 SILVER AVE, San Francisco, CA 94134",9,6075,SAN FRANCISCO,37.7284126,-122.4186859
Jefferson Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS051,5,10,PS,3.87E+13,"1725 IRVING ST, San Francisco, CA 94122",4,6075,SAN FRANCISCO,37.7630653,-122.4767303
Jefferson Out Of School (OST) Program,SFUSD,0,5,K-5,USD Grades K-5,PS052,5,10,PS,3.87E+13,"1325 18TH AVE, SAN FRANCISCO CA 94122",4,6075,SAN FRANCISCO,37.7630615,-122.4763184
"Key, Francis Scott Key Elementary/Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS054,5,10,PS,3.87E+13,"1530 43RD AVE, San Francisco, CA 94122",4,6075,SAN FRANCISCO,37.7580986,-122.5019989
Lakeshore Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS059,5,10,PS,3.87E+13,"220 MIDDLEFIELD DR, San Francisco, CA 94132",7,6075,SAN FRANCISCO,37.7303238,-122.4854202
Longfellow Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS068,5,10,PS,3.87E+13,"755 MORSE ST, San Francisco, CA 94112",11,6075,SAN FRANCISCO,37.7104225,-122.4467392
Malcolm X Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS070,5,10,PS,3.87E+13,"350 HARBOR RD, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,37.7342377,-122.3809662
Marshall Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS072,5,10,PS,3.87E+13,"1575 15TH ST, San Francisco, CA 94103",9,6075,SAN FRANCISCO,37.7662888,-122.4190216
"Mccoppin, Frank Mccoppin Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS074,5,10,PS,3.87E+13,"651 06TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,37.77631,-122.4644775
Mckinley Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS075,5,10,PS,3.87E+13,"1025 14TH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,37.7668839,-122.4362793
"Milk, Harvey Milk Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS077,5,10,PS,3.87E+13,"4235 19TH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,37.7589264,-122.4364471
Miraloma Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS078,5,10,PS,3.87E+13,"175 OMAR WAY, San Francisco, CA 94127",7,6075,SAN FRANCISCO,37.738636,-122.4501877
Mission Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS079,5,10,PS,3.87E+13,"1670 NOE ST, San Francisco, CA 94131",8,6075,SAN FRANCISCO,37.7422028,-122.4314346
Monroe Elementary / Excelsior Monroe Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS081,5,10,PS,3.87E+13,"260 MADRID ST, San Francisco, CA 94112",11,6075,SAN FRANCISCO,37.725399,-122.4304886
New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,3.87E+13,"2049 GROVE ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,37.7738838,-122.450264
"Ortega, Jose Ortega Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS087,5,10,PS,3.87E+13,"400 SARGENT ST, San Francisco, CA 94132",11,6075,SAN FRANCISCO,37.7167816,-122.4666748
"Parker, Jean Parker Out-Of-School (OST) / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS088,5,10,PS,3.87E+13,"840 BROADWAY, San Francisco, CA 94133",3,6075,SAN FRANCISCO,37.7976189,-122.4110413
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",SFUSD,0,5,K-5,"USD Grades K-5, PreK-5",PS089,5,10,PS,3.87E+13,"1501 OFARRELL ST, San Francisco, CA 94115",5,6075,SAN FRANCISCO,37.7830086,-122.4295044
"Peabody, George Peabody Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS090,5,10,PS,3.87E+13,"251 06TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,37.7838554,-122.4650269
Redding Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS093,5,10,PS,3.87E+13,"1421 PINE ST, San Francisco, CA 94109",3,6075,SAN FRANCISCO,37.7895203,-122.4192505
"Serra, Junipero Serra Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS104,5,10,PS,3.87E+13,"625 HOLLY PARK CIR, San Francisco, CA 94110",9,6075,SAN FRANCISCO,37.7369118,-122.4214859
Sherman Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS106,5,10,PS,3.87E+13,"1651 UNION ST, San Francisco, CA 94123",2,6075,SAN FRANCISCO,37.797802,-122.4261169
"Sloat, Commodore Sloat Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS107,5,10,PS,3.87E+13,"50 DARIEN WAY, SAN FRANCISCO, CA 94127",7,6075,SAN FRANCISCO,37.7312584,-122.4704819
Spring Valley Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS108,5,10,PS,3.87E+13,"1451 JACKSON ST, San Francisco, CA 94109",3,6075,SAN FRANCISCO,37.7940063,-122.4188156
"Stevenson, Robert Louis Stevenson Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS109,5,10,PS,3.87E+13,"2051 34TH AVE, San Francisco, CA 94116",4,6075,SAN FRANCISCO,37.7488441,-122.4927597
Sunnyside Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS111,5,10,PS,3.87E+13,"250 FOERSTER ST, San Francisco, CA 94112",7,6075,SAN FRANCISCO,37.7302933,-122.4482574
Sunset Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS112,5,10,PS,3.87E+13,"1920 41ST AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,37.7505226,-122.4991531
Sutro Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS113,5,10,PS,3.87E+13,"235 12TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,37.7836037,-122.4714508
Ulloa Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS117,5,10,PS,3.87E+13,"2650 42ND AVE, San Francisco, CA 94116",4,6075,SAN FRANCISCO,37.7373161,-122.4993973
Visitacion Valley Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS118,5,10,PS,3.87E+13,"55 SCHWERIN ST, SAN FRANCISCO, CA 94134",10,6075,SAN FRANCISCO,37.7125244,-122.4098969
"Webster, Daniel Webster Out-Of-School (OST) Program",SFUSD,0,5,K-5,USD Grades K-5,PS123,5,10,PS,3.87E+13,"465 MISSOURI ST, San Francisco, CA 94107",10,6075,SAN FRANCISCO,37.7605209,-122.3958435
West Portal Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS125,5,10,PS,3.87E+13,"5 LENOX WAY, San Francisco, CA 94127",7,6075,SAN FRANCISCO,37.7428741,-122.4643478
Yick Wo Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS126,5,10,PS,3.87E+13,"2245 JONES ST, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,37.80196,-122.4166107
Alt School - Alamo Square,Private,0,5,K-5,Independent / Private,IND201,5,10,IND,3.87E+13,"735 FELL ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,37.7747879,-122.4302063
Alta Vista School,Private,0,5,K-5,Independent / Private,IND209,5,10,IND,3.87E+13,"413 SOMERSET ST, SAN FRANCISCO, CA 94134",9,6075,SAN FRANCISCO,37.7263908,-122.407196
Buena Vista Child Care,Private,0,5,K-5,Independent / Private,IND223,5,10,IND,384002230,"3351 23RD ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,37.7535667,-122.4202805
Cornerstone Academy,Private,0,5,K-5,Independent / Private,IND233,5,10,IND,3.87E+13,"801 SILVER AVE, SAN FRANCISCO, CA 94134",9,6075,SAN FRANCISCO,37.7295837,-122.4183273
Second Community Child Care Center,Private,0,5,K-5,Independent / Private,IND325,5,10,IND,380505027,"500 CLARENDON AVE, SAN FRANCISCO, CA 94131",7,6075,SAN FRANCISCO,37.7537117,-122.456131
