GEOID,county,medincome,phisp,pblk,mhisp,status
6085507904,Santa Clara County,206607,0.03286384976525822,0,Not Majority,Urban
6085508504,Santa Clara County,114300,0.15841469084146909,0.010344026034402603,Not Majority,Urban
6085508505,Santa Clara County,152969,0.08540340792445084,0,Not Majority,Urban
6085508704,Santa Clara County,145500,0.19652036378015025,0.039936733886911824,Not Majority,Urban
6085509403,Santa Clara County,112278,0.342619830420488,0.023879563938397647,Not Majority,Urban
6085509802,Santa Clara County,210529,0.06030944111146195,0.004420587306599305,Not Majority,Urban
6085510200,Santa Clara County,250001,0.04346885813148789,0.01189446366782007,Not Majority,Urban
6085510600,Santa Clara County,136065,0.0978996701961465,0.01787884047908349,Not Majority,Urban
6085511800,Santa Clara County,176042,0.044290657439446365,6.920415224913495e-4,Not Majority,Urban
6085511907,Santa Clara County,185795,0.09282500591996211,0.03551977267345489,Not Majority,Urban
6085511909,Santa Clara County,221538,0.044720175778725606,0,Not Majority,Urban
6085512021,Santa Clara County,130460,0.32768448621167773,0.04236635341241719,Not Majority,Urban
6085512026,Santa Clara County,103611,0.4046116504854369,0.07330097087378641,Not Majority,Urban
6085503802,Santa Clara County,99619,0.448694665153235,0.021793416572077184,Not Majority,Urban
6085503803,Santa Clara County,108224,0.2072704081632653,0.022321428571428572,Not Majority,Urban
6085503804,Santa Clara County,105036,0.28420056764427626,0.007379375591296121,Not Majority,Urban
6085504307,Santa Clara County,111765,0.1802241503976862,0.009219088937093275,Not Majority,Urban
6085504311,Santa Clara County,145000,0.07065884599645342,0.002455326694857455,Not Majority,Urban
6085504413,Santa Clara County,123125,0.053003533568904596,0.006057546693589096,Not Majority,Urban
6085504420,Santa Clara County,143864,0.10374946740519812,0,Not Majority,Urban
6085505007,Santa Clara County,114236,0.19627270582684594,0.054258079735786745,Not Majority,Urban
6085505402,Santa Clara County,134688,0.2368,0.02304,Not Majority,Urban
6085506204,Santa Clara County,108478,0.08530890804597702,0.03969109195402299,Not Majority,Urban
6085506305,Santa Clara County,68917,0.3022598870056497,0.1798988997918525,Not Majority,Urban
6085506402,Santa Clara County,95107,0.39782157676348545,0.04892807745504841,Not Majority,Urban
6085506703,Santa Clara County,138000,0.12542087542087543,0.021885521885521887,Not Majority,Urban
6067000400,Sacramento County,78038,0.20849224510551742,0.06000508517670989,Not Majority,Urban
6067004202,Sacramento County,48913,0.411931371005824,0.20525735872815992,Not Majority,Urban
6067004203,Sacramento County,45966,0.3315421816227834,0.18986208131828766,Not Majority,Urban
6067004300,Sacramento County,49154,0.20482416134590048,0.1977298064254586,Not Majority,Urban
6067005202,Sacramento County,81658,0.3181936831114591,0.02375358914121639,Not Majority,Urban
6067005505,Sacramento County,32157,0.28414207103551775,0.13006503251625812,Not Majority,Urban
6085508203,Santa Clara County,194375,0.03978685612788632,0.003552397868561279,Not Majority,Urban
6085508204,Santa Clara County,176818,0.04754973313925279,0.004366812227074236,Not Majority,Urban
6085508301,Santa Clara County,199861,0.041354188986500964,0.010927790872080565,Not Majority,Urban
6085509302,Santa Clara County,139028,0.10521443998765813,0.010182042579450786,Not Majority,Urban
6085509700,Santa Clara County,151000,0.13301435406698564,0.010207336523125997,Not Majority,Urban
6073016504,San Diego County,46440,0.31271878646441076,0.08766044340723454,Not Majority,Urban
6073017051,San Diego County,106161,0.11083269082498072,0.06669236700077101,Not Majority,Urban
6073017053,San Diego County,155208,0.08956127080181543,9.07715582450832e-4,Not Majority,Urban
6073017054,San Diego County,101875,0.14116210085499914,0.014308148665154423,Not Majority,Urban
6073017052,San Diego County,103336,0.1245025582717453,0,Not Majority,Urban
6073017055,San Diego County,124702,0.052814964239867965,0.01302035576746745,Not Majority,Urban
6073017109,San Diego County,192028,0.057343640196767395,0.001546029515108925,Not Majority,Urban
6073017110,San Diego County,151205,0.17848143793045523,0.017974130690408197,Not Majority,Urban
6073017813,San Diego County,109189,0.07317073170731707,0,Not Majority,Urban
6073018613,San Diego County,77083,0.3071446108519519,0.0743923397986742,Not Majority,Urban
6073019808,San Diego County,74712,0.056499770326136886,0,Not Majority,Urban
6073019809,San Diego County,99821,0.12415349887133183,0.015550539252570855,Not Majority,Urban
6073020026,San Diego County,94211,0.16050212956736157,0.023985653440932526,Not Majority,Urban
6073020027,San Diego County,123887,0.16785980184410973,0.04730542351526258,Not Majority,Urban
6073017056,San Diego County,112609,0.18724921979491752,0.025858225590726706,Not Majority,Urban
6073018614,San Diego County,51172,0.35157894736842105,0.06649122807017543,Not Majority,Urban
6073020028,San Diego County,43295,0.9562694300518134,0.004145077720207254,Majority,Urban
6073020029,San Diego County,42799,0.6272382920110193,0.02358815426997245,Majority,Urban
6073020213,San Diego County,41250,0.84372574385511,0.027166882276843468,Majority,Urban
6073020214,San Diego County,29043,0.7951243138521149,0.021633839199225055,Majority,Urban
6073020308,San Diego County,33645,0.45124677558039555,0.03181427343078246,Not Majority,Urban
6073020309,San Diego County,81216,0.3757369614512472,0.004081632653061225,Not Majority,Urban
6073020810,San Diego County,122283,0.10996366418053165,0.014534327787339835,Not Majority,Suburban
6073020811,San Diego County,117863,0.15032786885245902,0.0036065573770491803,Not Majority,Suburban
6073021205,San Diego County,61337,0.1604285923968883,0.027300748568912372,Not Majority,Urban
6073021206,San Diego County,119441,0.08888210140500916,0,Not Majority,Urban
6073021400,San Diego County,87188,0.18941541784798163,0.04536249493722155,Not Majority,Urban
6073021500,San Diego County,177863,0.1076006499368117,0.004513450081242101,Not Majority,Urban
6073021600,San Diego County,87604,0.1886045094454601,0.05240706886045095,Not Majority,Urban
6073021800,San Diego County,144276,0.19017894298793175,0.0033291718684977114,Not Majority,Urban
6019000501,Fresno County,23717,0.8092417061611374,0.06990521327014218,Majority,Urban
6019000502,Fresno County,37283,0.7301057317751809,0.01669449081803005,Majority,Urban
6019000901,Fresno County,31823,0.6259514316781443,0.15331641899238854,Majority,Urban
6019000902,Fresno County,20117,0.7320362165286072,0.11674051242535156,Majority,Urban
6019001303,Fresno County,33590,0.6793388429752066,0.10082644628099173,Majority,Urban
6019001304,Fresno County,26467,0.6375626973806428,0.0980865688277912,Majority,Urban
6019001407,Fresno County,27258,0.5914964568570238,0.11588161734055856,Majority,Urban
6019001408,Fresno County,17417,0.43742995890922676,0.028016436309301458,Not Majority,Urban
6019001409,Fresno County,95766,0.281508739650414,0.04461821527138914,Not Majority,Urban
6019001410,Fresno County,67790,0.5415399786342345,0.04807297230668091,Majority,Urban
6019001411,Fresno County,47993,0.4572624891712388,0.0516892867455963,Not Majority,Urban
6019001412,Fresno County,79750,0.41624706277274254,0.010741859684457872,Not Majority,Urban
6019001413,Fresno County,93967,0.46856221603400267,0.024329473838487468,Not Majority,Urban
6019001414,Fresno County,98477,0.4130917592051432,0.04991233196960842,Not Majority,Urban
6019002903,Fresno County,23596,0.5212345027697177,0.08256396729095225,Majority,Urban
6019002904,Fresno County,36884,0.5459770114942529,0.08333333333333333,Majority,Urban
6019002905,Fresno County,38676,0.6217990807616546,0.061720288903479976,Majority,Urban
6019003003,Fresno County,36036,0.5153458543289052,0.08176820888685296,Majority,Urban
6019003004,Fresno County,52750,0.5472636815920398,0.01451077943615257,Majority,Urban
6019003103,Fresno County,39474,0.5122682150215396,0.01460947743023038,Majority,Urban
6019002906,Fresno County,45279,0.5509657678332377,0.07324536240198891,Majority,Urban
6019003104,Fresno County,52347,0.37533060831930753,0.039432555902861266,Not Majority,Urban
6019003301,Fresno County,33555,0.6080528468071721,0.08807801195344447,Majority,Urban
6019003302,Fresno County,34805,0.6583797685383627,0.0904414916416631,Majority,Urban
6019003702,Fresno County,42143,0.543331150403842,0.07924034053700066,Majority,Urban
6019003807,Fresno County,35476,0.6441647597254004,0.05120137299771167,Majority,Urban
6019003808,Fresno County,66298,0.5666402221340738,0.09024196747322491,Majority,Urban
6019003701,Fresno County,41979,0.6874638937030618,0.05690352397458117,Majority,Urban
6019004001,Fresno County,64278,0.7160085126507448,0.006975644360368882,Majority,Suburban
6019004002,Fresno County,36554,0.8909696213067,0,Majority,Suburban
6073013308,San Diego County,65893,0.7803216135186699,0.050695012264922325,Majority,Urban
6073013309,San Diego County,94643,0.6436952324372494,0.004901232734293777,Majority,Urban
6073013410,San Diego County,119016,0.45739108215152674,0.054299220646480136,Not Majority,Urban
6073013418,San Diego County,86706,0.6337712750074649,0.027470886831890116,Majority,Urban
6073013504,San Diego County,101094,0.281076801266825,0.110055423594616,Not Majority,Urban
6073013601,San Diego County,93015,0.347128815312985,0.09587859975857907,Not Majority,Urban
6073013903,San Diego County,74750,0.41567806466620144,0.09560362875087229,Not Majority,Urban
6073013907,San Diego County,49299,0.7094218415417559,0.09486081370449678,Majority,Urban
6073014602,San Diego County,92375,0.218732782369146,0.17098255280073463,Not Majority,Urban
6073014803,San Diego County,56484,0.20361145703611458,0.042133665421336654,Not Majority,Urban
6073015701,San Diego County,37781,0.4120013409319477,0.08297016426416359,Not Majority,Urban
6073016617,San Diego County,58661,0.1966406023747466,0.028670721112076455,Not Majority,Urban
6073016810,San Diego County,90862,0.1270681667769689,0,Not Majority,Urban
6073016811,San Diego County,84441,0.19364881693648817,0.052303860523038606,Not Majority,Urban
6073017014,San Diego County,62052,0.08421464943204074,0.012142577359968664,Not Majority,Urban
6073017019,San Diego County,84388,0.10130376142664468,0.02142964184025176,Not Majority,Urban
6073017032,San Diego County,150203,0.08755940368465595,0.013475685176746306,Not Majority,Urban
6073017037,San Diego County,106141,0.2147085201793722,0.020448430493273544,Not Majority,Urban
6073017106,San Diego County,135990,0.10665491405905686,0,Not Majority,Urban
6073005700,San Diego County,38063,0.15534591194968553,0.09748427672955975,Not Majority,Urban
6073005800,San Diego County,104728,0.1930179610422464,0.02681507715658993,Not Majority,Urban
6073006801,San Diego County,73696,0.0848199259508583,0.09559071019858634,Not Majority,Urban
6073018611,San Diego County,109356,0.2885414605185039,0.03987730061349693,Not Majority,Urban
6073019203,San Diego County,85500,0.2777777777777778,0.024769992922859165,Not Majority,Urban
6073019501,San Diego County,54500,0.831858407079646,0.01597836774827925,Majority,Urban
6073019804,San Diego County,119667,0.10788757932910245,0.0022665457842248413,Not Majority,Urban
6073019805,San Diego County,49469,0.4230769230769231,0.016885553470919325,Not Majority,Urban
6073020018,San Diego County,50972,0.7419059604164283,0.012355565724745452,Majority,Urban
6073020108,San Diego County,60328,0.6373390557939914,0.0061312078479460455,Majority,Urban
