GEOID,countyn,countyid,economicc,environc,educc,composite,category
06017030200,El Dorado,06017,-0.499,0.467,-0.371,-0.134,Moderate Resource
06017030301,El Dorado,06017,-0.782,0.472,-0.371,-0.227,Moderate Resource
06017030302,El Dorado,06017,-0.649,0.416,-0.371,-0.201,Moderate Resource
06017030401,El Dorado,06017,-0.114,0.363,-0.371,-0.041,Moderate Resource
06017030402,El Dorado,06017,-0.912,0.541,-0.371,-0.247,Low Resource
06017030504,El Dorado,06017,0.082,0.593,-0.371,0.101,High Resource
06017030701,El Dorado,06017,0.66,0.337,1.826,0.941,Highest Resource
06017030704,El Dorado,06017,0.326,0.075,1.193,0.531,Highest Resource
06017030706,El Dorado,06017,0.839,0.178,1.798,0.938,Highest Resource
06017030709,El Dorado,06017,0.805,0.272,1.826,0.968,Highest Resource
06017030710,El Dorado,06017,0.619,0.274,1.822,0.905,Highest Resource
06017030808,El Dorado,06017,-0.096,0.292,0.961,0.386,High Resource
06017031600,El Dorado,06017,-0.537,0.467,-0.371,-0.147,Moderate Resource
06017031700,El Dorado,06017,1.159,0.233,1.826,1.073,Highest Resource
06017031800,El Dorado,06017,0.695,0.261,1.698,0.885,Highest Resource
06017990000,El Dorado,06017,NA,NA,NA,NA,NA
06061020601,Placer,06061,0.873,0.322,1.313,0.836,Highest Resource
06061020604,Placer,06061,0.912,0.306,1.635,0.951,Highest Resource
06061020605,Placer,06061,0.954,0.252,1.63,0.945,Highest Resource
06061020606,Placer,06061,0.998,0.36,1.617,0.992,Highest Resource
06061020710,Placer,06061,0.579,0.383,1.259,0.741,Highest Resource
06061020711,Placer,06061,0.446,0.307,1.259,0.671,Highest Resource
06061020712,Placer,06061,-0.069,0.114,0.525,0.19,High Resource
06061020713,Placer,06061,-0.23,0.028,0.361,0.053,Moderate Resource
06061020714,Placer,06061,0.515,-0.076,0.361,0.267,High Resource
06061020715,Placer,06061,0.179,0.33,0.733,0.414,High Resource
06061020717,Placer,06061,0.728,0.101,1.574,0.801,Highest Resource
06061020805,Placer,06061,0.039,-0.119,0.019,-0.02,Moderate Resource
06061020806,Placer,06061,-0.023,-0.293,0.362,0.015,Moderate Resource
06061020901,Placer,06061,-0.799,-0.154,0.019,-0.311,Low Resource
