GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp,NAME,nhwhitec,nhasnc,nhblkc,hispc,tpopc,pwhtc,pasnc,pblkc,phispc
06037101110,4731,2656,74,486,1324,0.01564151342210949,0.5614035087719298,0.10272669625871908,0.279856267173959,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037101122,3664,2437,26,495,575,0.007096069868995633,0.6651200873362445,0.13509825327510916,0.15693231441048036,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037101210,5990,2890,183,448,2219,0.030550918196994993,0.48247078464106846,0.07479131886477462,0.3704507512520868,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037101220,3363,1662,36,272,1272,0.010704727921498661,0.49420160570918825,0.08088016651798989,0.37823371989295274,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037101300,4199,3190,41,317,503,0.009764229578471064,0.7597046915932365,0.07549416527744701,0.11979042629197428,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037101400,3903,2649,45,337,721,0.011529592621060722,0.6787086856264412,0.08634383807327696,0.18472969510632847,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037102103,1740,1114,21,167,375,0.01206896551724138,0.6402298850574712,0.09597701149425288,0.21551724137931033,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037102105,1731,413,15,139,1136,0.008665511265164644,0.2385904101675332,0.0803004043905257,0.6562680531484691,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037102107,3851,2310,102,278,1039,0.02648662685016879,0.5998441963126461,0.07218904180732277,0.26980005193456247,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037103101,2670,1761,18,238,566,0.006741573033707865,0.6595505617977528,0.08913857677902622,0.21198501872659176,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037103102,4751,2646,28,586,1351,0.00589349610608293,0.5569353820248368,0.12334245422016418,0.2843611871185014,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
06037103300,3819,2710,35,221,744,0.009164702801780571,0.7096098455092956,0.05786855197695732,0.194815396700707,Los Angeles,877712,362612,287694,1614305,3223898,0.2722517896037654,0.11247626320683843,0.08923793494707338,0.500730792351371
