GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNHE001,RR7E001,NAME_M,RNHM001,RR7M001
"G0100010","2005-2009",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",51463,130700,"Autauga County, Alabama",2119,3798
"G0100030","2005-2009",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",48918,173100,"Baldwin County, Alabama",1349,3209
"G0100050","2005-2009",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",32537,83400,"Barbour County, Alabama",2396,5101
"G0100070","2005-2009",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",41236,81300,"Bibb County, Alabama",4139,8300
"G0100090","2005-2009",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",45406,109700,"Blount County, Alabama",1861,5691
"G0100110","2005-2009",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",26209,65700,"Bullock County, Alabama",4003,7148
"G0100130","2005-2009",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",31938,68000,"Butler County, Alabama",2382,6478
"G0100150","2005-2009",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",38382,94600,"Calhoun County, Alabama",1391,2260
"G0100170","2005-2009",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",32433,79200,"Chambers County, Alabama",2394,2762
"G0100190","2005-2009",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",40240,96200,"Cherokee County, Alabama",2550,5807
"G0100210","2005-2009",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",38966,102100,"Chilton County, Alabama",2429,6696
"G0100230","2005-2009",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",30749,61500,"Choctaw County, Alabama",2909,6254
"G0100250","2005-2009",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",27080,72400,"Clarke County, Alabama",1823,5523
"G0100270","2005-2009",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",37652,78400,"Clay County, Alabama",4440,6133
"G0100290","2005-2009",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",33742,88600,"Cleburne County, Alabama",3581,9459
"G0100310","2005-2009",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",41973,113500,"Coffee County, Alabama",2349,4998
"G0100330","2005-2009",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",39366,92900,"Colbert County, Alabama",1430,3882
"G0100350","2005-2009",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",27216,67800,"Conecuh County, Alabama",4413,7137
"G0100370","2005-2009",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",33595,68800,"Coosa County, Alabama",3212,4681
"G0100390","2005-2009",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",33278,80100,"Covington County, Alabama",1699,3794
"G0100410","2005-2009",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",31058,70600,"Crenshaw County, Alabama",3012,5928
"G0100430","2005-2009",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",38394,103600,"Cullman County, Alabama",1194,3800
"G0100450","2005-2009",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",42225,88800,"Dale County, Alabama",1682,3410
"G0100470","2005-2009",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",26442,70300,"Dallas County, Alabama",1322,3589
"G0100490","2005-2009",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",33634,80300,"DeKalb County, Alabama",1899,2767
"G0100510","2005-2009",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",52971,131400,"Elmore County, Alabama",1507,5287
"G0100530","2005-2009",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",32321,81100,"Escambia County, Alabama",1331,3272
"G0100550","2005-2009",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",36378,95300,"Etowah County, Alabama",1115,2831
"G0100570","2005-2009",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",35754,71400,"Fayette County, Alabama",2931,6493
"G0100590","2005-2009",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",33380,76700,"Franklin County, Alabama",2299,3280
"G0100610","2005-2009",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",31055,71500,"Geneva County, Alabama",2415,5479
"G0100630","2005-2009",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",22352,71700,"Greene County, Alabama",3081,5337
"G0100650","2005-2009",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",29841,70900,"Hale County, Alabama",3348,6726
"G0100670","2005-2009",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",35792,88500,"Henry County, Alabama",2460,3738
"G0100690","2005-2009",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",41096,111300,"Houston County, Alabama",874,2466
"G0100710","2005-2009",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",35073,84200,"Jackson County, Alabama",2005,2914
"G0100730","2005-2009",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",44718,132700,"Jefferson County, Alabama",697,1529
"G0100750","2005-2009",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",31094,64100,"Lamar County, Alabama",4332,7103
"G0100770","2005-2009",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",37691,100600,"Lauderdale County, Alabama",1301,3168
"G0100790","2005-2009",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",41472,92100,"Lawrence County, Alabama",2099,5624
"G0100810","2005-2009",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",38588,131000,"Lee County, Alabama",1149,4402
"G0100830","2005-2009",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",44997,115100,"Limestone County, Alabama",1537,5166
"G0100850","2005-2009",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",30270,61800,"Lowndes County, Alabama",2348,7443
"G0100870","2005-2009",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",26305,78700,"Macon County, Alabama",2317,3760
"G0100890","2005-2009",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",54979,147700,"Madison County, Alabama",1084,2022
"G0100910","2005-2009",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",30819,76500,"Marengo County, Alabama",3040,5436
"G0100930","2005-2009",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",32224,71500,"Marion County, Alabama",2017,3375
"G0100950","2005-2009",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",37396,98100,"Marshall County, Alabama",1256,2312
"G0100970","2005-2009",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",40476,113200,"Mobile County, Alabama",673,1738
"G0100990","2005-2009",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",29810,81800,"Monroe County, Alabama",2182,4217
"G0101010","2005-2009",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",43015,116300,"Montgomery County, Alabama",1254,2357
"G0101030","2005-2009",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",42913,109800,"Morgan County, Alabama",1262,2377
"G0101050","2005-2009",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",26270,60600,"Perry County, Alabama",4379,11740
"G0101070","2005-2009",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",27150,73700,"Pickens County, Alabama",2751,12707
"G0101090","2005-2009",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",28065,85500,"Pike County, Alabama",1625,5442
"G0101110","2005-2009",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",35137,85500,"Randolph County, Alabama",4797,5872
"G0101130","2005-2009",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",32064,91300,"Russell County, Alabama",1734,2984
"G0101150","2005-2009",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",48425,119600,"St. Clair County, Alabama",2722,4805
"G0101170","2005-2009",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",67534,188000,"Shelby County, Alabama",1505,2902
"G0101190","2005-2009",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",20994,54900,"Sumter County, Alabama",3630,5857
