GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,TDPE001,TDPE002,TDPE003,TDPE004,TDPE005,TDPE006,TDPE007,TDPE008,TDPE009,TDPE010,TXBE001,T76E001,NAME_M,TDPM001,TDPM002,TDPM003,TDPM004,TDPM005,TDPM006,TDPM007,TDPM008,TDPM009,TDPM010,TXBM001,T76M001
"G0100010","2011-2013",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,"Autauga County, Alabama",55263,42843,10167,155,522,25,665,886,77,809,48995,133100,"Autauga County, Alabama",0,392,245,73,127,43,429,309,106,289,5346,8995
"G0100030","2011-2013",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",190981,165157,17918,874,1392,0,2176,3464,353,3111,49381,165600,"Baldwin County, Alabama",0,818,789,321,294,110,830,877,333,819,2058,3031
"G0100050","2011-2013",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,"Barbour County, Alabama",27203,12768,12783,45,130,0,1129,348,0,348,30589,87700,"Barbour County, Alabama",0,420,218,52,148,110,427,193,110,193,2576,5882
"G0100070","2011-2013",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,"Bibb County, Alabama",,,,,,,,,,,36660,99500,"Bibb County, Alabama",,,,,,,,,,,5834,9588
"G0100090","2011-2013",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,"Blount County, Alabama",57807,54808,723,326,62,0,795,1093,34,1059,42607,114800,"Blount County, Alabama",0,513,275,266,59,110,486,321,41,292,3872,5988
"G0100130","2011-2013",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,"Butler County, Alabama",,,,,,,,,,,30700,77300,"Butler County, Alabama",,,,,,,,,,,2718,4270
"G0100150","2011-2013",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",117253,88314,24607,193,912,0,1043,2184,249,1935,40049,100600,"Calhoun County, Alabama",0,577,387,129,217,110,476,506,324,371,1885,4086
"G0100170","2011-2013",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,"Chambers County, Alabama",,,,,,,,,,,32921,81900,"Chambers County, Alabama",,,,,,,,,,,2408,4967
"G0100190","2011-2013",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,"Cherokee County, Alabama",26116,24298,1305,72,65,4,22,350,9,341,35495,100200,"Cherokee County, Alabama",0,93,135,61,70,7,42,96,16,96,3234,9108
"G0100210","2011-2013",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,"Chilton County, Alabama",43846,37011,4573,120,76,0,1777,289,18,271,40411,102900,"Chilton County, Alabama",0,625,139,85,75,110,623,138,29,135,2494,8634
"G0100250","2011-2013",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,"Clarke County, Alabama",,,,,,,,,,,30231,85300,"Clarke County, Alabama",,,,,,,,,,,4660,6068
"G0100310","2011-2013",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,"Coffee County, Alabama",50906,39246,8647,521,833,0,264,1395,9,1386,44133,137700,"Coffee County, Alabama",0,260,351,199,104,110,174,318,11,319,3328,9264
"G0100330","2011-2013",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,"Colbert County, Alabama",54450,43325,8532,268,224,26,700,1375,298,1077,38807,99700,"Colbert County, Alabama",0,254,402,165,95,41,496,543,336,439,2248,7366
"G0100390","2011-2013",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,"Covington County, Alabama",37932,31998,4855,221,140,38,243,437,99,338,35234,88700,"Covington County, Alabama",0,142,80,93,90,57,154,162,100,126,2145,5376
"G0100430","2011-2013",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",80566,77202,894,320,430,24,553,1143,104,1039,39002,113400,"Cullman County, Alabama",0,419,234,195,36,31,418,264,146,228,1862,5116
"G0100450","2011-2013",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,"Dale County, Alabama",50106,37417,9764,233,587,13,596,1496,131,1365,42942,96300,"Dale County, Alabama",0,572,261,103,153,23,534,312,101,319,2513,6233
"G0100470","2011-2013",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,"Dallas County, Alabama",,,,,,,,,,,26949,82000,"Dallas County, Alabama",,,,,,,,,,,2199,4446
"G0100490","2011-2013",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",71137,64364,1378,769,254,0,2560,1812,410,1402,38626,100600,"DeKalb County, Alabama",0,1771,50,278,11,110,1779,491,411,348,1485,7262
"G0100510","2011-2013",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",80443,61135,16860,366,602,0,287,1193,81,1112,53484,138300,"Elmore County, Alabama",0,367,395,148,92,110,234,384,94,375,3332,8418
"G0100530","2011-2013",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,"Escambia County, Alabama",38094,23457,12851,1225,20,0,73,468,53,415,30931,88800,"Escambia County, Alabama",0,168,231,128,26,110,88,177,70,163,1950,8585
"G0100550","2011-2013",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",104188,84598,16074,540,753,89,759,1375,193,1182,36643,99400,"Etowah County, Alabama",0,459,262,296,96,121,400,366,188,308,1775,4363
"G0100590","2011-2013",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,"Franklin County, Alabama",31661,28312,1789,109,69,39,921,422,229,193,35136,86300,"Franklin County, Alabama",0,872,527,119,73,62,735,341,320,154,2589,5843
"G0100610","2011-2013",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,"Geneva County, Alabama",26837,23158,2613,67,0,0,543,456,34,422,35711,74200,"Geneva County, Alabama",0,224,364,78,110,110,445,130,53,125,3169,4866
"G0100690","2011-2013",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",103112,71974,27004,349,879,6,1066,1834,88,1746,40932,123100,"Houston County, Alabama",0,286,219,112,83,11,259,243,42,232,1305,2918
"G0100710","2011-2013",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,"Jackson County, Alabama",53078,48629,1564,714,248,63,388,1472,82,1390,37909,95900,"Jackson County, Alabama",0,290,225,375,39,95,282,413,94,395,1712,6249
"G0100730","2011-2013",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",658601,348342,279024,1411,9869,86,13028,6841,305,6536,44709,141400,"Jefferson County, Alabama",0,1688,893,413,479,74,1704,1013,173,994,1017,2401
"G0100770","2011-2013",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",92693,80557,9328,384,748,22,380,1274,148,1126,43375,119000,"Lauderdale County, Alabama",0,341,402,117,60,35,292,467,135,425,1435,4921
"G0100790","2011-2013",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,"Lawrence County, Alabama",33806,26154,3778,1960,36,0,35,1843,104,1739,39728,93100,"Lawrence County, Alabama",0,207,159,497,25,110,53,532,108,543,3099,6829
"G0100810","2011-2013",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",147537,103038,34240,227,4492,74,3047,2419,109,2310,46120,149500,"Lee County, Alabama",0,668,670,175,174,125,916,676,186,647,1985,6041
