GEOID,evrate
06001400100,0
06001400200,0
06001400300,0.07
06001400400,0
06001400500,0.19
06001400600,0.42
06001400700,0.25
06001400800,0.43
06001400900,0.57
06001401000,1.22
06001401100,0.12
06001401200,0
06001401300,0.62
06001401400,1.11
06001401500,1.87
06001401600,1.63
06001401700,0.43
06001401800,2.04
06001402200,1.12
06001402400,0.78
06001402500,0.49
06001402600,2.35
06001402700,2.1
06001402800,1.36
06001402900,0.93
06001403000,0.24
06001403100,0.16
06001403300,0.3
06001403400,0.27
06001403501,0.35
06001403502,0
06001403600,0.51
06001403701,0.14
06001403702,0.53
06001403800,0.08
06001403900,0.34
06001404000,0.08
06001404101,0.09
06001404102,0
06001404200,0
06001404300,0.35
06001404400,0.22
06001404501,0
06001404502,0.24
06001404600,0.56
06001404700,0.92
06001404800,0.15
06001404900,0.11
06001405000,0
06001405100,0
06001405200,0.26
06001405301,0.23
06001405302,0.82
06001405401,0.95
06001405402,0.62
06001405500,0.73
06001405600,0.29
06001405700,0.76
06001405800,0.85
06001405901,0.97
06001405902,0.95
06001406000,0.64
06001406100,1.24
06001406201,0.91
06001406202,0.93
06001406300,1.18
06001406400,0
06001406500,0.52
06001406601,0.48
06001406602,0.64
06001406700,0.51
06001406800,0.42
06001406900,0.4
06001407000,0.68
06001407101,0.67
06001407102,1.41
06001407200,0.88
06001407300,0.86
06001407400,1.03
06001407500,2.5
06001407600,0.61
06001407700,0.79
06001407800,1.6
06001407900,0.89
06001408000,0.61
06001408100,1.15
06001408200,2.01
06001408300,3.29
06001408400,1.28
06001408500,1.23
06001408600,1.56
06001408700,1.85
06001408800,1.42
06001408900,0.65
06001409000,1.69
06001409100,3.6
06001409200,2.44
06001409300,1.31
06001409400,1.2
06001409500,1.33
06001409600,2.24
06001409700,2.73
06001409800,1.08
06001409900,0
06001410000,1.21
06001410100,2.8
06001410200,1.03
06001410300,1.2
06001410400,0.6
06001410500,0.48
06001981900,0
06001982000,0
06001983200,0
