fips,oppzone,city,levratio,medincome,phisp,pblk,mhisp
6067005205,Designated Qualified Opportunity Zone,Sacramento,2.28,30585,0.231688312,0.092987013,Not Majority
6067007204,Designated Qualified Opportunity Zone,Sacramento,3.22,56806,0.25734355,0.104512559,Not Majority
6067009601,Not Designated,Sacramento,3.45,52750,0.294629234,0.218339945,Not Majority
6067007106,Not Designated,Sacramento,2.75,98056,0.253397474,0.105472038,Not Majority
6067005301,Designated Qualified Opportunity Zone,Sacramento,3.36786087,12355,0.341521395,0.304278922,Not Majority
6067007015,Not Designated,Sacramento,2.99,61061,0.211253301,0.170627666,Not Majority
6067005402,Not Designated,Sacramento,3.36786087,41614,0.197316496,0.029992107,Not Majority
6067006900,Designated Qualified Opportunity Zone,Sacramento,3.1,30309,0.306632761,0.143674507,Not Majority
6067003800,Not Designated,Sacramento,3.32,51375,0.3577921,0.263262271,Not Majority
6067007018,Not Designated,Sacramento,3.2,57589,0.177226985,0.038017145,Not Majority
6067007102,Not Designated,Sacramento,3.06,73980,0.117053481,0.115792129,Not Majority
6067006702,Designated Qualified Opportunity Zone,Sacramento,3.52,35276,0.35036075,0.176046176,Not Majority
6067007007,Not Designated,Sacramento,3.16,51186,0.524505271,0.097281302,Majority
6067006500,Designated Qualified Opportunity Zone,Sacramento,3.55,36486,0.337178738,0.206337617,Not Majority
6067009608,Not Designated,Sacramento,3.25,59500,0.15494012,0.176397206,Not Majority
6067004300,Not Designated,Sacramento,3.33,43819,0.265886471,0.218309089,Not Majority
6067005204,Not Designated,Sacramento,3.02,71595,0.183422336,0.045275134,Not Majority
6067001700,Not Designated,Sacramento,2.67,55197,0.101734311,0.042910781,Not Majority
6067006400,Not Designated,Sacramento,3.05,37724,0.351301115,0.074907063,Not Majority
6067004001,Not Designated,Sacramento,2.82,52500,0.238974746,0.118545043,Not Majority
6067007001,Not Designated,Sacramento,3.27,42269,0.590979438,0.042007517,Majority
6067006701,Not Designated,Sacramento,3.12,45722,0.430778032,0.093935927,Not Majority
6067002400,Not Designated,Sacramento,2.64,123684,0.09310817,0.011866728,Not Majority
6067001600,Not Designated,Sacramento,2.9,100129,0.145795323,0.019572068,Not Majority
6067004004,Not Designated,Sacramento,2.73,89782,0.160146141,0.092251484,Not Majority
6067007004,Designated Qualified Opportunity Zone,Sacramento,3.1,41062,0.454317897,0.161590877,Not Majority
6067005502,Designated Qualified Opportunity Zone,Sacramento,3.3,NA,0.436034706,0.093225032,Not Majority
6067006300,Designated Qualified Opportunity Zone,Sacramento,3.31,33315,0.470308789,0.119130276,Not Majority
6067002200,Designated Qualified Opportunity Zone,Sacramento,2.97,30438,0.313958917,0.198179272,Not Majority
6067009606,Not Designated,Sacramento,3.34,38233,0.245926127,0.251357958,Not Majority
6067007010,Not Designated,Sacramento,2.44,60027,0.251887056,0.072966173,Not Majority
6067007020,Not Designated,Sacramento,2.89,83702,0.222634104,0.087440035,Not Majority
6067003000,Not Designated,Sacramento,3.01,60093,0.32778542,0.17826685,Not Majority
6067006800,Not Designated,Sacramento,3.25,22977,0.562064343,0.092627346,Majority
6067003900,Not Designated,Sacramento,2.69,63668,0.248308326,0.042659606,Not Majority
6067003300,Not Designated,Sacramento,2.8,72308,0.122079707,0.054512139,Not Majority
6067002900,Not Designated,Sacramento,2.98,49552,0.320030846,0.051474841,Not Majority
6067000100,Not Designated,Sacramento,2.96,104271,0.055107527,0.005645161,Not Majority
6067003400,Not Designated,Sacramento,2.95,61287,0.238390805,0.112183908,Not Majority
6067007104,Not Designated,Sacramento,2.63,87393,0.184777166,0.154231347,Not Majority
6067006600,Designated Qualified Opportunity Zone,Sacramento,3.43,28000,0.381014304,0.190868372,Not Majority
6067007103,Not Designated,Sacramento,2.64,72431,0.286018957,0.104028436,Not Majority
6067004005,Not Designated,Sacramento,2.91,67721,0.120763723,0.149403341,Not Majority
6067005201,Not Designated,Sacramento,3.36786087,16821,0.361127596,0.152522255,Not Majority
6067007105,Not Designated,Sacramento,3.08,73971,0.206872172,0.085690045,Not Majority
6067004100,Designated Qualified Opportunity Zone,Sacramento,2.91,29635,0.36237203,0.114158779,Not Majority
6067004012,Not Designated,Sacramento,2.6,119615,0.191730388,0.087793826,Not Majority
6067004006,Not Designated,Sacramento,3.25,52292,0.163285601,0.204256165,Not Majority
6067007011,Not Designated,Sacramento,3.1,49896,0.39670905,0.137920718,Not Majority
6067007014,Not Designated,Sacramento,3.16,51835,0.413651967,0.196197518,Not Majority
6067004201,Not Designated,Sacramento,3.19,43365,0.370990734,0.279935852,Not Majority
6067005202,Not Designated,Sacramento,2.78,68412,0.236436498,0.044081381,Not Majority
6067004009,Not Designated,Sacramento,2.96,70833,0.178695563,0.170312819,Not Majority
6067004801,Not Designated,Sacramento,3.29,36369,0.201991465,0.119487909,Not Majority
6067009610,Not Designated,Sacramento,3.7,57625,0.294042689,0.217744505,Not Majority
6067004903,Designated Qualified Opportunity Zone,Sacramento,3.16,31529,0.205639913,0.224005785,Not Majority
6067001500,Not Designated,Sacramento,2.77,94276,0.117454471,0.015551463,Not Majority
6067001800,Not Designated,Sacramento,3.25,52451,0.153909977,0.141671852,Not Majority
6067004905,Designated Qualified Opportunity Zone,Sacramento,3.57,40568,0.385312014,0.263195132,Not Majority
6067004008,Not Designated,Sacramento,2.95,82415,0.190666667,0.057333333,Not Majority
6067003202,Not Designated,Sacramento,3.22,33704,0.302566067,0.12926082,Not Majority
6067004010,Not Designated,Sacramento,2.81,41184,0.109767986,0.326574381,Not Majority
6067004202,Not Designated,Sacramento,2.94,36379,0.378803596,0.211618257,Not Majority
6067004203,Designated Qualified Opportunity Zone,Sacramento,3.27,35568,0.337735166,0.229920405,Not Majority
6067006202,Designated Qualified Opportunity Zone,Sacramento,3.7,25972,0.462474043,0.104420053,Not Majority
6067003204,Not Designated,Sacramento,3.57,33519,0.304211304,0.092353158,Not Majority
6067001101,Designated Qualified Opportunity Zone,Sacramento,2.42,27472,0.140144665,0.105786618,Not Majority
6067002100,Designated Qualified Opportunity Zone,Sacramento,3.34,47841,0.233106757,0.037984806,Not Majority
6067000200,Not Designated,Sacramento,2.87,99540,0.152110433,0.012742235,Not Majority
6067009609,Not Designated,Sacramento,3.42,60048,0.268886775,0.168791627,Not Majority
6067000300,Not Designated,Sacramento,2.71,103529,0.135818476,0.002593193,Not Majority
6067003700,Designated Qualified Opportunity Zone,Sacramento,3.43,27765,0.501771255,0.121710526,Majority
6067005403,Not Designated,Sacramento,2.23,65156,0.189915966,0.034453782,Not Majority
6067002700,Not Designated,Sacramento,3.01,31591,0.320583942,0.237372263,Not Majority
6067003600,Not Designated,Sacramento,2.85,38500,0.52875817,0.035620915,Majority
6067003502,Not Designated,Sacramento,2.79,46691,0.262578039,0.082629453,Not Majority
6067003101,Not Designated,Sacramento,2.96,45521,0.565509192,0.044645463,Majority
6067004011,Not Designated,Sacramento,2.8,107083,0.087689713,0.077908938,Not Majority
6067002300,Not Designated,Sacramento,2.84,104301,0.134552965,0.011212747,Not Majority
6067003501,Not Designated,Sacramento,2.88,37733,0.355653569,0.065356856,Not Majority
6067009634,Designated Qualified Opportunity Zone,Sacramento,3.44,37356,0.325775401,0.174117647,Not Majority
6067003102,Not Designated,Sacramento,2.77,42933,0.392752204,0.100228534,Not Majority
6067001900,Not Designated,Sacramento,3.26,42534,0.173532274,0.050924424,Not Majority
6067007012,Not Designated,Sacramento,2.59,51289,0.374649642,0.187480536,Not Majority
6067002000,Not Designated,Sacramento,2.77,32780,0.191747573,0.027508091,Not Majority
6067003203,Not Designated,Sacramento,3.51,32841,0.320508744,0.087440382,Not Majority
6067002500,Not Designated,Sacramento,2.79,100278,0.106327462,0.02739726,Not Majority
6067000400,Not Designated,Sacramento,2.76,55714,0.218419728,0.054353296,Not Majority
6067004906,Not Designated,Sacramento,3.41,45446,0.287106203,0.253653784,Not Majority
6067002600,Not Designated,Sacramento,2.9,79571,0.168908819,0.044843049,Not Majority
6067002800,Designated Qualified Opportunity Zone,Sacramento,3.21,31806,0.465682016,0.248479583,Not Majority
6067000500,Designated Qualified Opportunity Zone,Sacramento,2.62,53977,0.258823529,0.06996904,Not Majority
6067001400,Not Designated,Sacramento,2.92,31368,0.103954342,0.056665308,Not Majority
6067001300,Not Designated,Sacramento,3.14,46713,0.16944717,0.07196598,Not Majority
6067009633,Not Designated,Sacramento,3.12,41477,0.343776224,0.174545455,Not Majority
6067001200,Not Designated,Sacramento,3.01,35674,0.137747098,0.072795733,Not Majority
6067007013,Not Designated,Sacramento,3.26,60551,0.385462555,0.171806167,Not Majority
6067000800,Not Designated,Sacramento,2.88,60571,0.106958763,0.052190722,Not Majority
6067000700,Designated Qualified Opportunity Zone,Sacramento,3.36786087,12171,0.23255814,0.306335204,Not Majority
6067000600,Not Designated,Sacramento,2.51,22106,0.18671875,0.26875,Not Majority
6085504602,Not Designated,San Jose,3.22,77734,0.500766479,0.032703117,Majority
6085512001,Not Designated,San Jose,3.26,154322,0.204017857,0.019345238,Not Majority
6085505006,Not Designated,San Jose,3.15,151180,0.055195295,0.024129091,Not Majority
6085503334,Not Designated,San Jose,3.28,211442,0.083304287,0.01626583,Not Majority
6085503332,Not Designated,San Jose,3.22,82092,0.11113132,0.010367406,Not Majority
6085505100,Designated Qualified Opportunity Zone,San Jose,3.6,NA,0.362842167,0.025917298,Not Majority
6085503115,Not Designated,San Jose,3.5,100924,0.193808245,0.013583952,Not Majority
6085504318,Not Designated,San Jose,3.48,57177,0.377516141,0.007026206,Not Majority
6085503326,Not Designated,San Jose,3.2,170903,0.119175258,0.034776632,Not Majority
6085512033,Not Designated,San Jose,3.61,117386,0.327291482,0.048040083,Not Majority
6085503122,Designated Qualified Opportunity Zone,San Jose,3.6,21978,0.315911346,0.066159444,Not Majority
6085505009,Not Designated,San Jose,2.91,100425,0.321851453,0.050053821,Not Majority
6085504322,Not Designated,San Jose,3.28,121625,0.11248258,0.023491937,Not Majority
6085502702,Not Designated,San Jose,3.35,103417,0.152495742,0.026857068,Not Majority
6085500300,Not Designated,San Jose,3.11,110345,0.228496042,0.071503958,Not Majority
6085512032,Not Designated,San Jose,3.69,112159,0.360789226,0.021609771,Not Majority
6085511914,Not Designated,San Jose,3.27,138676,0.076468544,0.005561349,Not Majority
6085502400,Not Designated,San Jose,3.56,124028,0.17635356,0.046184454,Not Majority
6085502902,Not Designated,San Jose,3.28,123150,0.21440086,0.003492746,Not Majority
6085506202,Not Designated,San Jose,3.24,123713,0.072674419,0.01799557,Not Majority
6085502500,Not Designated,San Jose,3.54,146875,0.150655022,0.002807236,Not Majority
6085506604,Not Designated,San Jose,3.38,113622,0.081398563,0.003869541,Not Majority
6085511912,Not Designated,San Jose,3.23,163846,0.054592882,0.01267002,Not Majority
6085512005,Not Designated,San Jose,3.61,114669,0.256621278,0.016758941,Not Majority
6085503305,Designated Qualified Opportunity Zone,San Jose,4.19,73819,0.470994042,0.019441831,Not Majority
6085512035,Not Designated,San Jose,3.55,120482,0.332014942,0.045045045,Not Majority
6085512017,Not Designated,San Jose,3.64,78792,0.483605659,0.043645137,Not Majority
6085506803,Not Designated,San Jose,3.48,125417,0.151809233,0.003327326,Not Majority
6085503108,Not Designated,San Jose,3.21,85557,0.375957499,0.042129973,Not Majority
6085511910,Not Designated,San Jose,3.47,198068,0.016074189,0.025656878,Not Majority
6085503121,Not Designated,San Jose,3.49,50893,0.587004405,0.041629956,Majority
6085504311,Not Designated,San Jose,3.39,127348,0.057617729,0.002493075,Not Majority
6085500500,Not Designated,San Jose,3.26,130469,0.20014245,0.010861823,Not Majority
6085502908,Not Designated,San Jose,3.53,135110,0.191770864,0.010468159,Not Majority
6085504319,Not Designated,San Jose,3.29,103153,0.142584775,0.010758546,Not Majority
6085503333,Not Designated,San Jose,3.56,139914,0.210478771,0.023261066,Not Majority
6085512045,Not Designated,San Jose,3.55,108289,0.268906115,0.034797588,Not Majority
6085506802,Not Designated,San Jose,3.34,117204,0.125173611,0.011458333,Not Majority
6085506302,Not Designated,San Jose,3.35,107500,0.204793646,0.026946532,Not Majority
6085503321,Not Designated,San Jose,3.53,105000,0.152165115,0.028733306,Not Majority
6085500100,Not Designated,San Jose,3.49,81125,0.594325153,0.021472393,Majority
6085512029,Not Designated,San Jose,3.54,116699,0.249217368,0.018238737,Not Majority
6085502101,Not Designated,San Jose,3.38,98867,0.191552063,0.017681729,Not Majority
6085503003,Not Designated,San Jose,3.63,130000,0.183988512,0.02548914,Not Majority
6085511913,Not Designated,San Jose,3.34,164375,0.149435874,0.001611789,Not Majority
