Census Tract,FIPS Code,Formatted FIPS,"Designated Qualified Opportunity Zones, as of 2018.",city,Median leverage ratio for all loans in 2016.,NAME,medincome,phisp,pblk
"06067005205, CA",6067005205,06067005205,Designated Qualified Opportunity Zone,Sacramento,2.28,"Census Tract 52.05, Sacramento County, California",30585,0.2316883116883117,0.09298701298701299
"06067007204, CA",6067007204,06067007204,Designated Qualified Opportunity Zone,Sacramento,3.22,"Census Tract 72.04, Sacramento County, California",56806,0.25734355044699875,0.10451255853554704
"06067009601, CA",6067009601,06067009601,Not Designated,Sacramento,3.45,"Census Tract 96.01, Sacramento County, California",52750,0.2946292340555386,0.21833994507171192
"06067007106, CA",6067007106,06067007106,Not Designated,Sacramento,2.75,"Census Tract 71.06, Sacramento County, California",98056,0.2533974744437763,0.10547203848466627
"06067005301, CA",6067005301,06067005301,Designated Qualified Opportunity Zone,Sacramento,N/A,"Census Tract 53.01, Sacramento County, California",12355,0.3415213946117274,0.30427892234548337
"06067007015, CA",6067007015,06067007015,Not Designated,Sacramento,2.99,"Census Tract 70.15, Sacramento County, California",61061,0.2112533008328255,0.17062766605728213
"06067005402, CA",6067005402,06067005402,Not Designated,Sacramento,N/A,"Census Tract 54.02, Sacramento County, California",41614,0.19731649565903708,0.02999210734017364
"06067006900, CA",6067006900,06067006900,Designated Qualified Opportunity Zone,Sacramento,3.1,"Census Tract 69, Sacramento County, California",30309,0.30663276117821575,0.14367450731087095
"06067003800, CA",6067003800,06067003800,Not Designated,Sacramento,3.32,"Census Tract 38, Sacramento County, California",51375,0.35779210047925963,0.263262270699058
"06067007018, CA",6067007018,06067007018,Not Designated,Sacramento,3.2,"Census Tract 70.18, Sacramento County, California",57589,0.17722698471859857,0.0380171449869549
"06067007102, CA",6067007102,06067007102,Not Designated,Sacramento,3.06,"Census Tract 71.02, Sacramento County, California",73980,0.1170534813319879,0.11579212916246216
"06067006702, CA",6067006702,06067006702,Designated Qualified Opportunity Zone,Sacramento,3.52,"Census Tract 67.02, Sacramento County, California",35276,0.3503607503607504,0.17604617604617603
"06067007007, CA",6067007007,06067007007,Not Designated,Sacramento,3.16,"Census Tract 70.07, Sacramento County, California",51186,0.5245052709450712,0.0972813020159053
"06067006500, CA",6067006500,06067006500,Designated Qualified Opportunity Zone,Sacramento,3.55,"Census Tract 65, Sacramento County, California",36486,0.337178738317757,0.2063376168224299
"06067009608, CA",6067009608,06067009608,Not Designated,Sacramento,3.25,"Census Tract 96.08, Sacramento County, California",59500,0.15494011976047903,0.17639720558882235
"06067004300, CA",6067004300,06067004300,Not Designated,Sacramento,3.33,"Census Tract 43, Sacramento County, California",43819,0.2658864705238981,0.21830908892048562
"06067005204, CA",6067005204,06067005204,Not Designated,Sacramento,3.02,"Census Tract 52.04, Sacramento County, California",71595,0.18342233573252845,0.04527513350359879
"06067001700, CA",6067001700,06067001700,Not Designated,Sacramento,2.67,"Census Tract 17, Sacramento County, California",55197,0.10173431074557483,0.04291078133381012
"06067006400, CA",6067006400,06067006400,Not Designated,Sacramento,3.05,"Census Tract 64, Sacramento County, California",37724,0.3513011152416357,0.07490706319702602
"06067004001, CA",6067004001,06067004001,Not Designated,Sacramento,2.82,"Census Tract 40.01, Sacramento County, California",52500,0.23897474557105164,0.11854504334715417
"06067007001, CA",6067007001,06067007001,Not Designated,Sacramento,3.27,"Census Tract 70.01, Sacramento County, California",42269,0.5909794384258236,0.04200751713464515
"06067006701, CA",6067006701,06067006701,Not Designated,Sacramento,3.12,"Census Tract 67.01, Sacramento County, California",45722,0.43077803203661325,0.09393592677345537
"06067002400, CA",6067002400,06067002400,Not Designated,Sacramento,2.64,"Census Tract 24, Sacramento County, California",123684,0.09310816978548608,0.011866727521679598
"06067001600, CA",6067001600,06067001600,Not Designated,Sacramento,2.9,"Census Tract 16, Sacramento County, California",100129,0.14579532260739758,0.01957206833637419
"06067004004, CA",6067004004,06067004004,Not Designated,Sacramento,2.73,"Census Tract 40.04, Sacramento County, California",89782,0.1601461409651393,0.0922514842441772
"06067007004, CA",6067007004,06067007004,Designated Qualified Opportunity Zone,Sacramento,3.1,"Census Tract 70.04, Sacramento County, California",41062,0.45431789737171463,0.16159087748574608
"06067005502, CA",6067005502,06067005502,Designated Qualified Opportunity Zone,Sacramento,3.3,"Census Tract 55.02, Sacramento County, California",30245,0.43603470555658114,0.09322503230570427
"06067006300, CA",6067006300,06067006300,Designated Qualified Opportunity Zone,Sacramento,3.31,"Census Tract 63, Sacramento County, California",33315,0.47030878859857483,0.1191302758998721
"06067002200, CA",6067002200,06067002200,Designated Qualified Opportunity Zone,Sacramento,2.97,"Census Tract 22, Sacramento County, California",30438,0.31395891690009337,0.19817927170868346
"06067009606, CA",6067009606,06067009606,Not Designated,Sacramento,3.34,"Census Tract 96.06, Sacramento County, California",38233,0.24592612710483433,0.2513579576317219
