tract,totpop,pct_un18,pct_ov64,pct_white,pct_black,pct_hispanic,pct_api,pct_other,edppl1,ecppl1,ecppl2,hsppl1,soppl3
06001400100,3385,9.72,18.76,61.98,4.05,7.77,21.33,4.87,87.68,97.95,93.71,82.92,99.13
06001400200,1939,16.50,23.00,71.69,1.75,6.91,10.99,8.66,82.72,97.03,91.70,63.19,100.00
06001400300,5428,15.97,14.08,61.46,13.17,7.70,12.40,5.27,75.83,90.29,85.44,45.98,99.26
06001400400,4279,13.46,10.59,59.76,16.66,10.68,8.11,4.79,77.93,95.56,84.28,39.90,99.69
06001400500,3516,10.55,9.58,52.39,25.65,14.79,3.27,3.90,70.40,91.61,73.72,36.73,97.72
06001400600,1750,12.00,9.77,35.83,36.46,13.60,4.86,9.26,57.23,84.92,65.95,46.28,97.30
06001400700,4396,18.04,11.17,34.17,43.65,10.83,2.59,8.76,45.40,89.55,51.57,30.40,97.30
06001400800,3218,9.29,13.98,36.23,35.92,14.57,11.22,2.05,55.68,88.66,72.54,31.93,98.62
06001400900,2031,19.50,7.78,48.20,31.02,4.78,10.68,5.32,64.31,94.22,74.00,44.49,98.58
06001401000,5505,12.99,8.27,28.32,41.00,20.64,5.29,4.76,37.01,89.15,54.39,32.39,96.77
06001401100,4240,9.76,7.29,49.27,22.43,11.04,12.15,5.12,61.06,88.30,68.92,24.79,99.18
06001401200,2345,12.84,12.45,56.97,11.51,15.18,11.73,4.61,66.82,89.88,79.34,39.70,99.20
06001401300,3815,5.32,14.89,24.67,32.61,17.88,19.29,5.56,36.44,85.90,44.47,11.16,90.60
06001401400,4297,24.88,8.24,19.25,44.78,19.90,11.59,4.49,26.25,81.35,32.27,15.84,86.01
06001401500,2131,13.51,11.97,39.56,36.13,10.18,9.76,4.36,43.01,87.02,52.56,41.05,96.79
06001401600,1919,26.16,5.16,21.37,47.06,12.14,14.43,5.00,41.19,89.06,33.87,21.31,90.67
06001401700,2603,16.75,4.34,23.86,28.93,33.00,10.83,3.38,49.81,92.40,58.86,43.05,92.79
06001401800,1794,30.27,7.30,18.84,50.72,19.68,1.11,9.64,41.99,82.43,40.02,18.68,95.18
06001402200,2446,20.28,7.56,18.81,38.02,27.19,14.68,1.31,33.83,82.89,43.30,32.15,86.06
06001402400,2846,26.25,13.07,15.25,58.78,11.14,8.19,6.64,28.58,83.49,39.17,10.52,97.68
06001402500,1909,36.67,5.29,5.34,61.76,19.38,9.32,4.19,20.02,76.20,29.18,17.07,89.17
06001402600,1029,5.64,30.13,10.20,29.54,3.30,55.88,1.07,30.80,88.51,34.89,18.51,74.74
06001402700,1647,15.54,10.93,23.25,53.61,12.39,8.01,2.73,32.87,90.37,50.71,21.13,95.87
06001402800,3299,7.88,17.01,28.19,41.32,9.94,16.13,4.43,40.12,82.65,41.40,8.25,94.63
06001402900,1399,2.93,26.52,22.66,13.01,10.08,49.11,5.15,36.83,92.39,45.65,1.00,83.89
06001403000,2471,6.80,43.87,6.35,3.72,1.94,83.04,4.94,28.61,88.72,37.84,19.15,73.67
06001403100,1782,6.29,12.46,26.60,16.22,12.12,38.66,NA,NA,NA,NA,NA,NA
