GEOID,nhblk,nhwhite,nhasn,hisp,noth,tpop,pblk,pwht,pasn,phisp,poth,ppov,pu18,p2234,pcol,pfb,NAME,nhwhitec,nhasnc,nhblkc,nothc,hispc,tpopc,pwhtc,pasnc,pblkc,pothc,phispc
06017030200,54,2874,212,1951,208,5299,0.010190602000377429,0.5423664842423098,0.040007548594074356,0.36818267597659937,0.03925268918663899,0.10170487948265726,0.18154368748820532,0.19362143800717116,0.17946708463949843,0.2243819588601623,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030301,10,1731,39,1063,31,2874,0.003479471120389701,0.6022964509394572,0.013569937369519834,0.3698677800974252,0.010786360473208072,0.16666666666666666,0.16249130132219902,0.2160751565762004,0.20080726538849647,0.16945024356297841,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030302,25,2085,27,548,33,2718,0.00919793966151582,0.7671081677704195,0.009933774834437087,0.2016188373804268,0.012141280353200883,0.19462840323767477,0.15415746872700514,0.23215599705665932,0.28564523924601254,0.11184694628403238,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030401,15,3210,80,346,59,3710,0.004043126684636119,0.8652291105121294,0.0215633423180593,0.09326145552560647,0.015902964959568732,0.08748645720476707,0.1091644204851752,0.2326145552560647,0.47769693135083835,0.08436657681940701,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030402,77,2671,180,919,125,3972,0.019385699899295065,0.6724572004028198,0.045317220543806644,0.23136958710976838,0.03147029204431017,0.18958918091349833,0.20317220543806647,0.21802618328298087,0.2396842482956584,0.10599194360523666,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030502,8,2356,6,196,72,2638,0.003032600454890068,0.8931008339651251,0.002274450341167551,0.07429871114480667,0.027293404094010616,0.057926829268292686,0.21190295678544352,0.0758150113722517,0.4067796610169492,0.04359363153904473,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030504,0,1892,107,291,150,2440,0,0.7754098360655738,0.043852459016393446,0.11926229508196722,0.06147540983606557,0.09453349773941636,0.1864754098360656,0.09385245901639344,0.4398921832884097,0.09139344262295082,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030505,17,2053,11,182,89,2352,0.007227891156462585,0.872874149659864,0.00467687074829932,0.07738095238095238,0.03784013605442177,0.055222602739726026,0.20450680272108843,0.1989795918367347,0.2970838396111786,0.02423469387755102,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030601,0,4777,39,146,200,5162,0,0.9254165052305308,0.007555211158465711,0.02828361100348702,0.03874467260751647,0.034289035257652076,0.2202634637737311,0.12030220844633863,0.28027397260273973,0.032739248353351416,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030602,31,6334,28,781,151,7325,0.004232081911262798,0.8647098976109215,0.0038225255972696246,0.10662116040955631,0.020614334470989763,0.13133416631958905,0.1898976109215017,0.110580204778157,0.1518942101501072,0.02266211604095563,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030603,37,2907,46,277,75,3342,0.011071214841412328,0.86983842010772,0.01376421304608019,0.08288450029922202,0.02244165170556553,0.12409200968523003,0.15888689407540396,0.09156193895870736,0.194921875,0.04338719329742669,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030701,0,5431,330,426,208,6395,0,0.8492572322126661,0.05160281469898358,0.06661454261141517,0.03252541047693511,0.032212666145426117,0.22501954652071932,0.07521501172791244,0.5426556991774383,0.11790461297888975,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030704,281,5103,841,1066,393,7684,0.036569495054659035,0.6641072358146799,0.10944820406038522,0.13872982821447163,0.05114523685580427,0.06585111920874545,0.28526808953669963,0.12272254034357105,0.4439426664048694,0.12064029151483602,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030706,215,4005,411,849,563,6043,0.03557835512162833,0.6627502895912626,0.0680125765348337,0.1404931325500579,0.09316564620221744,0.044348833360913456,0.2619559821280821,0.10110872083402284,0.5221925782197429,0.11716035081912957,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030709,44,3783,301,464,130,4722,0.009318085556967387,0.8011435832274459,0.06374417619652689,0.09826344769165608,0.027530707327403644,0.015247776365946633,0.2662007623888183,0.07835662854722575,0.5560866794136392,0.07560355781448538,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030710,128,3482,686,426,157,4879,0.026234884197581472,0.7136708341873335,0.1406025824964132,0.08731297397007584,0.03217872514859602,0.02582496413199426,0.20844435335109654,0.09059233449477352,0.5337798485730926,0.16335314613650337,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030801,24,3420,350,533,281,4608,0.005208333333333333,0.7421875,0.0759548611111111,0.11566840277777778,0.060980902777777776,0.04106910039113429,0.1870659722222222,0.10785590277777778,0.3210922787193974,0.07118055555555555,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030803,3,6523,131,926,79,7662,3.9154267815191856e-4,0.8513442965283216,0.017097363612633778,0.1208561733228922,0.010310623858000523,0.07678148829871155,0.19785956669276952,0.0971025841816758,0.2924544972610002,0.0772644218219786,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030804,55,5836,141,712,92,6836,0.00804564072557051,0.8537156231714453,0.020626097132826215,0.10415447630193095,0.013458162668227034,0.06741407287210503,0.1947045055588063,0.09142773551784669,0.3283340089177138,0.06699824458747805,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
06017030807,33,3924,86,75,162,4280,0.007710280373831775,0.9168224299065421,0.020093457943925235,0.017523364485981307,0.03785046728971963,0.059718969555035126,0.20957943925233644,0.202803738317757,0.38589487691284097,0.06939252336448598,"Sacramento--Roseville--Arden-Arcade, CA",1207093,288104,154134,136821,481853,2268005,0.532226780805157,0.1270297023154711,0.06796016763631474,0.06032658658159925,0.21245676266145797
